fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FEDER,2011,"Télé-AVC : la solution téléexpertise et téléconsultation, dans une situation médicale urgente",,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Tele-AVC-la-solution-teleexpertise-et-teleconsultation-dans-une-situation-medicale-urgente/(offset)/60/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,,,Agence régionale de la santé (ARS),"""L'Européen d'à côté"" ; Recherche et Innovation ; Santé"
FEDER,2011,Mise en place d'une déchèterie sur la commune de Piana,,Corse,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Mise-en-place-d-une-decheterie-sur-la-commune-de-Piana/(offset)/65/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,368 650 €,961 600 €,Syndicat de valorisation des déchets,"""L'Européen d'à côté"" ; Développement durable et environnement ; Développement local et cohésion territoriale"
FEADER,2011,Modernisation d'un vignoble aux normes écoenvironnementales en PACA,,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Modernisation-d-un-vignoble-aux-normes-ecoenvironnementales-en-PACA/(offset)/65/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,150 000 €,1 000 000 €,Coopérative Moulin de la Roque,"""L'Européen d'à côté"" ; Aides aux entreprises ; Développement durable et environnement ; Développement rural"
FSE,2012,Faciliter l'accès à l'emploi des jeunes dans le secteur artisanal,,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Faciliter-l-acces-a-l-emploi-des-jeunes-dans-le-secteur-artisanal/(offset)/65/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,401 117 €,891 370 €,Chambre des métiers et de l'artisanat Région Nord - Pas de Calais,"""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FSE,2008,"Couveuse d'entreprises ""A Petits PAS"" en Nord-Pas de Calais",7 ans (2008 à 2014),Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Couveuse-d-entreprises-A-Petits-PAS-en-Nord-Pas-de-Calais/(offset)/65/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,81 500 €,180 896 €,A Petits Pas,"""L'Européen d'à côté"" ; Aides aux entreprises ; Développement rural ; Emploi et inclusion sociale"
FSE,2013,"Chantier d'insertion ""cuisine nomade"" en Aquitaine",,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Chantier-d-insertion-cuisine-nomade-en-Aquitaine/(offset)/65/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,22 500 €,173 146 €,Centre Communal d’Action Sociale de Blanquefort,"""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FEADER,2011,"Modernisation du Camping 'Les Saules' : une modernisation, oui, mais durable",,Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Modernisation-du-Camping-Les-Saules-une-modernisation-oui-mais-durable/(offset)/70/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,24 640 €,128 146 €,Camping Les Saules,"""L'Européen d'à côté"" ; Culture et tourisme ; Développement durable et environnement"
FSE,2009,Mobilité : garage d’insertion et de réparation alternatif,,Corse,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Mobilite-garage-d-insertion-et-de-reparation-alternatif/(offset)/70/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,131 581 €,,Association FALEPA,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEDER,2013,Parc urbain et Fluvial de la Presqu'île Rollet,,Haute-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Parc-urbain-et-Fluvial-de-la-Presqu-ile-Rollet/(offset)/70/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 040 000 €,12 851 706 €,Communauté de l'Agglomération Rouen Elbeuf Austreberthe,"""L'Européen d'à côté"" ; Développement durable et environnement ; Développement urbain"
FSE,2011,"Création d’un ""cafépicerie"" en milieu rural en Paca",,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-cafepicerie-en-milieu-rural-en-Paca/(offset)/70/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,11 500 €,23 000 €,La Juncha (association),"""L'Européen d'à côté"" ; Développement local et cohésion territoriale ; Emploi et inclusion sociale"
FEP,2009,Préserver les fonds sous-marins de la Baie du Prado à Marseille,,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Preserver-les-fonds-sous-marins-de-la-Baie-du-Prado-a-Marseille/(offset)/70/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 814 038 €,4 740 000 €,Ville de Marseille,"""L'Européen d'à côté"" ; Agriculture et pêche ; Développement durable et environnement ; Environnement ; Espaces naturels à enjeux"
FEADER,2011,Une collecte des déchets tirée par des chevaux,3 ans (jusqu'en octobre 2013),Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-collecte-des-dechets-tiree-par-des-chevaux/(offset)/75/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,9 354 €,25 971 €,Communauté de communes de Questembert,"""L'Européen d'à côté"" ; Développement durable et environnement ; Développement rural"
FSE,2014,L'Ecole de la 2ème chance : accompagner les jeunes adultes dans leur recherche d'emploi,,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/L-Ecole-de-la-2eme-chance-accompagner-les-jeunes-adultes-dans-leur-recherche-d-emploi/(offset)/75/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,316 915 €,736 445 €,"E2C 73, Association Départementale pour une Ecole de la 2ème chance en Savoie","""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FSE,2012,Trouver un logement grâce à l'emploi,2 ans,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Trouver-un-logement-grace-a-l-emploi/(offset)/75/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,,745 329 €,Parcours Experimental de Réinsertion par les Logements et l’Emploi (PERLE),"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEADER,2011,Fabrication de glaces et sorbets bio,En cours depuis début 2010,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Fabrication-de-glaces-et-sorbets-bio/(offset)/75/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,139 139 €,695 698 €,SARL Terre Adelice,"""L'Européen d'à côté"" ; Agriculture et pêche ; Aides aux entreprises ; Développement rural"
FSE,2010,Chantier d'insertion à vocation environnementale dans le Marais poitevin,3 ans,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Chantier-d-insertion-a-vocation-environnementale-dans-le-Marais-poitevin/(offset)/75/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,259 836 €,913 840 €,Association pour l'insertion par la protection et l'entretien du Marais Poitevin (AIPEMP),"""L'Européen d'à côté"" ; Développement durable et environnement ; Emploi et inclusion sociale"
FSE,2012,La Maison du quartier de Port Neuf - La Rochelle,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/La-Maison-du-quartier-de-Port-Neuf-La-Rochelle/(offset)/80/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,95 456 €,408 734 €,La Maison du quartier de Port Neuf,"""L'Européen d'à côté"" ; Développement durable et environnement ; Emploi et inclusion sociale"
FEDER,2011,Grand port maritime de La Rochelle,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Grand-port-maritime-de-La-Rochelle/(offset)/80/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 091 599 €,67 659 047 €,Grand port maritime de La Rochelle,"""L'Européen d'à côté"" ; Développement local et cohésion territoriale ; Les grands projets européens 2007-2013"
FSE,2012,Tissons la solidarité en Lorraine,,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Tissons-la-solidarite-en-Lorraine/(offset)/80/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,42 006 €,84 012 €,Verdun Chantiers,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEADER,2011,Création d'une crèche à Amance,,Franche-Comté,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-une-creche-a-Amance/(offset)/80/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,193 486 €,863 016 €,Communauté de communes Agir Ensemble,"""L'Européen d'à côté"" ; Développement rural ; Services au public"
FEADER,2011,Modernisation d'un atelier de production de produits frais à partir de lait bio,,Franche-Comté,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Modernisation-d-un-atelier-de-production-de-produits-frais-a-partir-de-lait-bio/(offset)/80/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,79 623 €,1 004 634 €,SARL Biodeal,"""L'Européen d'à côté"" ; Agriculture et pêche ; Aides aux entreprises"
FEADER,2010,Création de la coopérative agricole Hop'Là en Alsace,,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-de-la-cooperative-agricole-Hop-La-en-Alsace/(offset)/85/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,117 039 €,1 951 200 €,Société coopérative agricole Hop'La,"""L'Européen d'à côté"" ; Agriculture et pêche"
FEADER,2012,Création d'un pôle multi-services à Val-David,,Haute-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-pole-multi-services-a-Val-David/(offset)/85/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,362 250 €,1 128 555 €,Commune de Val David,"""L'Européen d'à côté"" ; Services au public"
FEDER,2008,"Une ancienne friche convertie en salle de concerts : la Rodia, à Besançon",,Franche-Comté,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-ancienne-friche-convertie-en-salle-de-concerts-la-Rodia-a-Besancon/(offset)/85/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 013 350 €,5 678 482 €,Mairie de Besançon,"""L'Européen d'à côté"" ; Culture et tourisme ; Développement urbain"
FEADER,2013,Travaux de modernisation du canal de Corbere,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Travaux-de-modernisation-du-canal-de-Corbere/(offset)/85/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,122 000 €,305 000 €,ASA du Canal de Corbère,"""L'Européen d'à côté"" ; Agriculture et pêche ; Développement durable et environnement ; Espaces naturels à enjeux"
FSE,2012,Chantier d'insertion : la Cistella de Marianne,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Chantier-d-insertion-la-Cistella-de-Marianne/(offset)/85/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,30 000 €,529 600 €,La Cistella de Marianne,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FSE,2010,"Accompagner les professionnels du spectacle vivant, du cinéma et de l'audiovisuel",,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagner-les-professionnels-du-spectacle-vivant-du-cinema-et-de-l-audiovisuel/(offset)/90/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,34 530 €,84 540 €,Réseau en scène,"""L'Européen d'à côté"" ; Culture ; Formation"
FEDER,2012,Projet KEROSALG,,Ile-de-France,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Projet-KEROSALG/(offset)/90/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,323 958 €,647 916 €,Phycosource,"""L'Européen d'à côté"" ; Aides aux entreprises ; Développement durable et environnement ; Recherche et Innovation"
FEDER,2009,ECOphyse : procédés d'épuration écologiques et innovants,3 ans (2009-2011),Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/ECOphyse-procedes-d-epuration-ecologiques-et-innovants/(offset)/90/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,70 000 €,390 968 €,Entreprise Jean Voisin,"""L'Européen d'à côté"" ; Aides aux entreprises ; Développement durable et environnement"
FEDER,2009,Acquisition de parcelles Natura 2000 par la commune d’Ecuras,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Acquisition-de-parcelles-Natura-2000-par-la-commune-d-Ecuras/(offset)/90/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 750 €,,Conseil général de la Charente,Développement durable et environnement
FEDER,2009,Le Réseau Tortues Marines pour protéger cette espèce,1 an,Guadeloupe,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-Reseau-Tortues-Marines-pour-proteger-cette-espece2/(offset)/90/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,64 624 €,147 693 €,Office National de la Chasse et de la Faune Sauvage,Développement durable et environnement
FSE,2009,"Formation à l'excellence des pâtissiers, chocolatiers de l'entreprise Mercier",5 ans (2009-2013),Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Formation-a-l-excellence-des-patissiers-chocolatiers-de-l-entreprise-Mercier/(offset)/95/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,194 386 €,431 970 €,Daniel Mercier (pâtissier‐chocolatier) - Chef de l’entreprise,"""L'Européen d'à côté"" ; Aides aux entreprises ; Formation"
FSE,2013,Transmettre des savoir-faire rares et d'excellence,,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Transmettre-des-savoir-faire-rares-et-d-excellence/(offset)/95/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,78 104 €,226 404 €,Fédération régionale des métiers d'art d'Alsace,"""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FEDER,2012,Les 2 CAPS,,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Les-2-CAPS/(offset)/95/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 800 000 €,,Conseil général du Pas-de-Calais,Tourisme
FEDER,2011,ELIH-Med - Efficacité énergétique dans les logements des ménages à faibles revenus en Méditerranée,2011-2014,CTE - Interreg - MED,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/ELIH-Med-Efficacite-energetique-dans-les-logements-des-menages-a-faibles-revenus-en-Mediterranee/(offset)/95/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,6 992 797 €,,"Agence Nationale pour les Nouvelles Technologies, l'Energie et le Développement Economique Durable, Latium (Italie)",Coopération ; Energie
FEDER,2012,Favoriser l'accès à Internet sur tout le territoire costarmoricain,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Favoriser-l-acces-a-Internet-sur-tout-le-territoire-costarmoricain/(offset)/95/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,5 990 000 €,,Conseil général des Côtes d'Armor,TIC
FEDER,2011,Maison de la petite enfance transfrontalière,,CTE - Interreg - Rhin supérieur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Maison-de-la-petite-enfance-transfrontaliere/(offset)/100/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 680 000 €,,Ville de Strasbourg,Coopération ; Services au public
FSE,2013,Olympiade des métiers  43ème édition,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Olympiade-des-metiers-43eme-edition/(offset)/100/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,540 000 €,,Conseil régional Aquitaine,Emploi et inclusion sociale
FEDER,2010,HEROES 2C,2010-2013,CTE - Interreg - Deux Mers,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/HEROES-2C/(offset)/100/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 499 435 €,,La Medway Queen Preservation Society,Coopération ; Emploi et inclusion sociale
FSE,2013,"Les Castors, une crèche pas comme les autres",3 ans,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Les-Castors-une-creche-pas-comme-les-autres/(offset)/100/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,334 436 €,786 000 €,Association Nantaise d'Aide Familiale,"""L'Européen d'à côté"" ; Services au public"
FSE,2012,Guider les personnes en difficulté sociale et professionnelle dans leur recherche d'emploi en Picardie,2012-2013,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Guider-les-personnes-en-difficulte-sociale-et-professionnelle-dans-leur-recherche-d-emploi-en-Picardie/(offset)/100/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,30 984 €,61 969 €,DEFI SERVICES,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FSE,2012,Démarche de VAE auprès des personnes détenues,2012-2013,Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Demarche-de-VAE-aupres-des-personnes-detenues/(offset)/105/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,19 500 €,,FNARS – Association Mediaction,Emploi et inclusion sociale
FEDER,2012,Nature pour tous,2012-2013,CTE - Interreg - France Suisse,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Nature-pour-tous/(offset)/105/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,315 075 €,,Commune de Riddes /Communauté de communes du Pays de Filière,Coopération ; Emploi et inclusion sociale
FSE,2011,Agir ensemble pour l'égalité femme-homme,,Franche-Comté,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Agir-ensemble-pour-l-egalite-femme-homme/(offset)/105/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,120 253 €,,Syndicat mixte de gestion de la maison de l'information sur la formation et l'emploi,Emploi et inclusion sociale
FEDER,2012,B.NEW : Business and Network of Enterprising Women,,CTE - Interreg - Deux Mers,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/B.NEW-Business-and-Network-of-Enterprising-Women/(offset)/105/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 000 000 €,,Conseil général du Finistère,Coopération ; Emploi et inclusion sociale
