Tytu³ projektu;Nazwa beneficjenta;Wartoœæ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiêkszym ni¿ jedna jednostka administracyjna?
Wsparcie zadañ Instytucji Zarzadzaj¹cej w zakresie ewaluacji Programów Interreg VA 2014-2020.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;300000.00;255000.00;Nie;brak;Nie
Wsparcie zatrudnienia pracowników Instytucji Wdra¿aj¹cej POIR, OPI PIB 2015;OŒRODEK PRZETWARZANIA INFORMACJI;265000.00;221000.00;Nie;administracja;Nie
Finansowanie wyposa¿enia stanowisk pracy oraz podnoszenia kwalifikacji pracowników Centrum Projektów Europejskich w 2015 roku.;CENTRUM PROJEKTÓW EUROPEJSKICH;218371.00;185615.35;Nie;brak;Nie
Wsparcie DSE w realizacjê Umowy Partnerstwa w perspektywie finansowej 2014 - 2020;MINISTERSTWO ROZWOJU, DEPARTAMENT SPRAW EUROPEJSKICH;210000.00;178500.00;Nie;brak;Nie
Finansowanie kosztów zatrudnienia w 2015 roku (od czerwca do grudnia) pracowników Ministerstwa Kultury i Dziedzictwa Narodowego realizuj¹cych zadania Instytucji Poœrednicz¹cej POIiŒ Priorytet VIII: Ochrona dziedzictwa kulturowego i rozwój zasobów kultury.;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;190193.00;161664.05;Nie;administracja;Nie
Wsparcie wdro¿enia Centralnych systemów teleinformatycznych obs³uguj¹cych programy wspó³finansowane ze œrodków funduszy strukturalnych w 2016.;MINISTERSTWO ROZWOJU, DEPARTAMENT KOORDYNACJI WDRA¯ANIA FUNDUSZY UNII EUROPEJSKIEJ;180000.00;153000.00;Nie;brak;Nie
Realizacja przez Ministerstwo Zdrowia zadañ podkomitetu do spraw zdrowia na lata 2014-2020 pn. Komitet Steruj¹cy ds. koordynacji interwencji EFSI 2014-2020 w sektorze zdrowia.;MINISTERSTWO ZDROWIA;160000.00;136000.00;Nie;brak;Nie
Podnoszenie kwalifikacji pracowników IK NSRO/IK UP w 2015 i 2016 roku.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;150000.00;127500.00;Nie;brak;Nie
Wsparcie kadrowe KPRM w 2015 roku w zakresie wdra¿ania Programu Operacyjnego Wiedza Edukacja Rozwój 2014 - 2020;KANCELARIA PREZESA RADY MINISTRÓW;144838.00;123112.30;Nie;administracja;Nie
Wsparcie realizacji zadañ UTK poprzez rozwój narzêdzi informatycznych i dzia³alnoœci eksperckiej w 2015 r.;URZ¥D TRANSPORTU KOLEJOWEGO;138197.22;117467.63;Nie;brak;Nie
Wsparcie koordynacji systemu informacji i promocji Funduszy Europejskich;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;138000.00;117300.00;Nie;brak;Nie
Podnoszenie kwalifikacji zawodowych pracowników UOKiK w okresie paŸdziernik-grudzieñ 2015r.;URZ¥D OCHRONY KONKURENCJI I KONSUMENTÓW;130000.00;110500.00;Nie;brak;Nie
Wsparcie realizacji zadañ UTK poprzez rozwój potencja³u kadrowego i narzêdzi obs³ugi administracyjnej w 2015r.;URZ¥D TRANSPORTU KOLEJOWEGO;122881.86;104449.58;Nie;brak;Nie
