Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Przebudowa DK nr 1 i 86 GdaÒsk - Cieszyn w granicach miasta Tychy - odcinek DK-1 km 0+000 do 5+656 i DK-86 km 27+448 do 28+648;Miasto Tychy;188125138.75;157442207.08;Nie;transport;Nie
Zakup niskopod≥ogowego taboru tramwajowego w Szczecinie;Tramwaje SzczeciÒskie Sp. z o.o.;241063002.22;156858669.28;Nie;transport;Nie
Polepszenie jakoúci us≥ug przewozowych poprzez poprawÍ stanu technicznego linii kolejowej nr 272 na odcinku Kluczbork - OstrzeszÛw;PKP Polskie Linie Kolejowe S.A.;253417596.77;155153669.50;Nie;transport;Tak
GdaÒski Projekt Komunikacji Miejskiej - etap III B;Miasto GdaÒsk;226228513.70;153065907.26;Nie;transport;Nie
Odtworzenie Zabytkowego Historycznego Kompleksu Dworca Wroc≥aw G≥Ûwny z przebudowπ kolejowej infrastruktury technicznej;Polskie Koleje PaÒstwowe S.A.;397317770.84;150378168.78;Nie;transport;Nie
Modernizacja elektrycznych zespo≥Ûw trakcyjnych do kolejowych przewozÛw pasaøerskich w ruchu regionalnym i w obrÍbie aglomeracji warszawskiej;Koleje Mazowieckie Sp. z o.o.;242505334.64;148180460.56;Nie;transport;Tak
Rozbudowa i modernizacja systemu zaopatrzenia w wodÍ i odprowadzania úciekÛw w Lublinie;Miejskie PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji Sp. z o.o. w Lublinie;311801567.67;147360713.00;Nie;ochrona úrodowiska;Nie
MODERNIZACJA I ROZBUDOWA GOSPODARKI WODNO-åCIEKOWEJ NA TERENIE AGLOMERACJI RADOM - II ETAP;Wodociπgi Miejskie w Radomiu sp. z o.o.;304670400.53;146784468.80;Nie;ochrona úrodowiska;Nie
Modernizacja linii kolejowej nr 8, budowa ≥πcznicy do lotniska OkÍcie (od przystanku osobowego S≥uøewiec do stacji MPL OkÍcie);PKP Polskie Linie Kolejowe S.A.;275107047.06;146590299.22;Nie;transport;Nie
Port Lotniczy Warszawa ñ Budowa/rozbudowa/przebudowa (modernizacja) infrastruktury lotniskowej;"PrzedsiÍbiorstwo PaÒstwowe ""Porty Lotnicze""";742646154.52;146510694.30;Nie;transport;Nie
ZwiÍkszenie moøliwoúci przewozowych Szybkiej Kolei Miejskiej Sp. z o.o. w ruchu aglomeracyjnym Warszawy na istniejπcych i planowanych liniach;Szybka Kolej Miejska Sp. z o.o. w Warszawie;223857169.35;144083255.98;Nie;transport;Tak
Port lotniczy w Krakowie ñ rozbudowa istniejπcego terminalu pasaøerskiego;MiÍdzynarodowy Port Lotniczy im. Jana Paw≥a II KrakÛw-Balice Sp. z o.o.;396894523.55;141760499.40;Nie;transport;Nie
Odnowa infrastruktury transportu publicznego w zwiπzku z organizacjπ EURO 2012 w Poznaniu ñ Etap I i Etap II;Miasto PoznaÒ;220771648.53;139594834.31;Nie;transport;Nie
Ochrona brzegÛw morskich Pobrzeøa KoszaliÒskiego;Urzπd Morski w S≥upsku;162843115.88;137065577.52;Nie;ochrona úrodowiska;Tak
Modernizacja linii kolejowej Warszawa-£Ûdü, etap II, Lot C - pozosta≥e roboty, Faza I;PKP Polskie Linie Kolejowe S.A.;219498581.16;135322123.57;Nie;transport;Tak
