Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"55.364,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"24.785,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"149.503,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"49.348,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"235.400,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"13.000,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"52.200,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"26.100,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"65.300,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"65.300,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"52.400,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"13.100,00"
"Joblinge gemeinnützige AG Frankfurt am
Main",Frankfurt am Main,Impulse der Arbeitsmarktpolitik,01.07.2012 , 31.12.2014,"178.600,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Technische Hilfe,01.08.2008 , 31.12.2014,"825.800,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.07.2008 , 31.10.2009,"173.454,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,15.10.2009 , 31.05.2011,"173.200,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.07.2009 , 31.10.2010,"175.375,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,QuiT -Information und Transparenz,01.08.2009 , 30.09.2011,"284.516,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"65.300,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"65.300,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"52.400,00"
"JAFKA Gemeinnützige Gesellschaft für
Aus- und Fortbildung mbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"13.100,00"
"Joblinge gemeinnützige AG Frankfurt am
Main",Frankfurt am Main,Impulse der Arbeitsmarktpolitik,01.07.2012 , 31.12.2014,"178.600,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Technische Hilfe,01.08.2008 , 31.12.2014,"825.800,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.07.2008 , 31.10.2009,"173.454,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,15.10.2009 , 31.05.2011,"173.200,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.07.2009 , 31.10.2010,"175.375,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,QuiT -Information und Transparenz,01.08.2009 , 30.09.2011,"284.516,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,"Übergang Hochschule zum Arbeitsmarkt und
Lebenslanges Lernen",01.10.2010 , 31.10.2012,"277.529,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,15.06.2010 , 31.03.2011,"103.691,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,20.05.2010 , 31.10.2011,"186.167,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.11.2010 , 30.09.2012,"226.356,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Kinderbetreuung an hessischen Hochschulen,16.10.2010 , 31.12.2014,"671.600,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2011 , 31.12.2014,"569.100,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2011 , 31.10.2012,"200.907,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Qualifizierung in der Altenpflege,01.01.2012 , 31.12.2014,"386.300,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Verbesserung des Ausbildungsumfeldes,15.09.2011 , 31.03.2012,"45.480,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Qualifizierung von Beschäftigten in KMU,01.08.2012 , 31.12.2014,"587.900,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,"Übergang Hochschule zum Arbeitsmarkt und
Lebenslanges Lernen",01.10.2010 , 31.10.2012,"277.529,00"
