Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Arbeitslosenselbsthilfe Organisation e.V. (A.L.S.O.),ANNA,Frauenprojekt ANNA (Ankommen--Nachdenken-Neugestalten-Anfangen),01.01.2015,31.12.2015,"137.277,31",73525,Deutschland,109,B 1.1,www.alsogmuend.de
Arbeitslosenselbsthilfe Organisation e.V. (A.L.S.O.),a.l.s.o....los,"a.l.s.o....los
    Flexibles Angebot mit aktivierenden, gendersensiblen Praxis- , Beratungs- und Qualifizierungsanteilen zur Unterstützung des beruflichen (Wieder)-Einstiegs und Berufsweges",01.01.2016,31.12.2016,"133.280,42",73525,Deutschland,109,B 1.1,www.alsogmuend.de
Architektengruppe F70 Koch Spathelf Wolk Partnerschaft Architekten und Ingenieure,Coaching,Förderprogramm Coaching 2015,07.04.2015,31.12.2016,"12.000,00",79102,Deutschland,106,A 5.1,www.f70.de
Aromas del Mundo GmbH  ,Coaching,Förderprogramm Coaching 2015,26.10.2015,30.09.2016,"12.000,00",79279,Deutschland,106,A 5.1,www.aromasdelmundo.de
Art-Cafe Freiburg  ,Coaching,Förderprogramm Coaching 2015,23.03.2015,22.03.2016,"2.400,00",79098,Deutschland,106,A 5.1,www.artcafe-freiburg.de
Artports.com  ,Coaching,Förderprogramm Coaching 2016,26.01.2016,25.01.2017,"9.000,00",76135,Deutschland,106,A 5.1,www.artports.com
Atelier¹³ Vertriebs UG (haftungsbeschränkt) ,Coaching,Förderprogramm Coaching 2015,01.12.2015,30.11.2016,"12.000,00",68753,Deutschland,106,A 5.1,www.atelierhoch13.com
Aton-Solar GmbH  ,Coaching,Förderprogramm Coaching 2015,13.04.2015,13.04.2016,"12.000,00",89150,Deutschland,106,A 5.1,www.aton-solar.de
Atris Information Systems GmbH ,Coaching,Förderprogramm Coaching 2015,01.06.2015,31.05.2016,"12.000,00",79102,Deutschland,106,A 5.1,www.atris-systems.com
Aufbaugilde Franken gGmbH  ,Teilhabechancen,Aufbau von Teilhabechancen mit Langzeitarbeitslosen,01.01.2015,31.12.2015,"101.375,65",74564,Deutschland,109,B 1.1,www.aufbaugilde.de
Aufbaugilde Heilbronn gGmbH  ,Malok 2016,"Marktnahe Arbeiten im lokalen Konsens (MALOK 2016)
     Projektinhalte: Profiling, produktionsnahe Tätigkeiten, betriebliche Qualifizierung in verschiedenen Berufsfeldern, berufliche Kenntnisvermittlung, Einzelbetreuung, Gruppencoaching",01.01.2016,31.12.2016,"348.515,00",74076,Deutschland,109,B 1.1,www.aufbaugilde.de
Aufbaugilde Heilbronn gGmbH  ,MALOK 2015,"MALOK 2015 -  Tagesstrukturierung, Beschäftigung, Qualifizierung und marktnahes Arbeiten im lokalen Konsens für Langzeitarbeitslose",01.01.2015,31.12.2015,"281.935,00",74076,Deutschland,109,B 1.1,www.aufbaugilde.de
Aug. Laukhuff GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2016,15.03.2016,15.03.2017,"9.000,00",97990,Deutschland,106,A 5.1,www.laukhuff.de
Aura GbR  ,Coaching,Förderprogramm Coaching 2015,23.11.2015,22.11.2016,"6.000,00",70806,Deutschland,106,A 5.1,www.aura-gbr.de
Ausbildungs- und Berufsförderungsstätte Albstadt e.V.,AV Dual +,AV Dual + Vermeiden von Schulabbrüchen und Verbesserung der Ausbildungsfähigkeit,01.01.2016,31.12.2017,"288.222,76",72336,Deutschland,115,C 1.1,.
