Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2009",2009,,"12.100,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2010",2010,,"12.100,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2011",2011,,"12.100,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2012",2012,,"12.100,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2013",2013,,"12.100,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2014",2014,,"12.100,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden","Technologietransfer, Technologieberatung 2015",2015,,"12.100,00"
"Fantasia Filmtheaterbetriebsgesellschaft mbH, Bad Vilbel","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Fantasia Filmtheater",2013,,"12.203,00"
"FAPRIK gGmbH, Frankfurt am Main",Bauliche Modernisierungs- und Ausstattungsmaßnahmen am Standort Spessartstraße 11 in 60385 Frankfurt,2009,,"13.600,00"
"FAPRIK gGmbH, Frankfurt am Main",Beschaffung von Ausstattungen für die Qualifizierungs- und Beschäftigungsprojekte in Frankfurt a. M.,2012,,"21.839,49"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Best Excellence 2/2008,2008,,"75.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Kompass 2008,2008,,"99.500,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Gründerflirt,2008,,"64.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",BEST Excellence 2009,2009,,"150.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Kompass 2009,2009,,"199.500,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",BEST Excellence 2010,2010,,"150.000,00"
"Medieninformationen GmbH, Frankfurt am Main",,,,
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Kompass 2010,2010,,"199.500,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",BEST EXCELLEENCE 2011,2011,,"150.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Kompass 2011,2011,,"150.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",BEST Excellence 2012,2012,,"150.000,00"
