Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2010,,"500,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2011,,"500,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2012,,"500,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2012,,"500,00"
"Akademie für Transport und Verkehr Schöbel-
Kurzweil GbR",Bildungsscheck,2011,,"175,00"
"Akademie für Transport und Verkehr Schöbel-
Kurzweil GbR",Bildungsscheck,2012,,"500,00"
Akademie Seehof GmbH,Teilprojekt Regionalbudget Brandenburg,2014,,"78.654,90"
Akademie Seehof GmbH,Teilprojekt Regionalbudget Havelland,2013,,"133.467,70"
Akademie Seehof GmbH,Teilprojekt Regionalbudget Brandenburg,2014,,"145.552,36"
Akademie Seehof GmbH,Teilprojekt Regionalbudget Havelland,2013,,"172.809,43"
Akademie Seehof GmbH,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts- oder Umweltmanagement",2014,,"1.584,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"2.500,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"2.500,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"2.500,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"2.500,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"2.500,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"2.500,00"
Akademie Seehof GmbH,Bildungsscheck,2012,,"3.000,00"
Akademie Seehof GmbH,Bildungsscheck,2013,,"3.000,00"
Akademie Seehof GmbH,Bildungsscheck,2013,,"3.500,00"
Akademie Seehof GmbH,"Schritt für Schritt in Arbeit - Schaffung von sozial-versicherungspflichtigen
Arbeitsverhältnissen für langzeitarbeitslosen Leistungsbezieher bzw.
Nichtleistungsbezieher",2012,"264.410,60",
Akademie Seehof GmbH,"Schritt für Schritt in Arbeit - Verbesserung der sozialen Eingliederung von arbeitslosen
Frauen und Männern",2012,"231.426,00",
Akademie Seehof GmbH,Intergrationsbegleitung von Langzeitarbeitslosen,2012,"297.914,46",
Akademie Seehof GmbH,Integrationsbegleitung von Langzeitarbeitslosen,2012,"346.616,80",
Akademie Seehof GmbH,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Produktions-, Qualitäts-, Umweltmanagement",2012,"31.680,00",
Akademie Seehof GmbH,"Integrationsbegleitung von Langzeitarbeitslosen in der Stadt Brandenburg an der
Havel",2013,"261.870,38",
Akademie Seehof GmbH,"Jobfinder Brandenburg - ganzheitliches Betreuungsangebot und individuelles
Einzelcoaching von Langzeitarbeitslosen mit multiplen Vermittlungshemmnissen zur
Aktivierung und Wiederherstellung der Beschäftigungsfähigkeiten",2014,"375.482,41",
Akademie Seehof GmbH,Deutschkurse für Flüchtlinge in Brandenburg Beginner-Kurs,2014,"745.049,57",
Akademie zur Berufsausbildung für Heilpraktiker GbR,Bildungsscheck,2013,,"500,00"
"AKKST, Inh. Bernhard Brischkofski, Antriebs-
,Kontroll- und Kommunikationstechnik in
Mühlenberge","Qualifizierung in kleinen und mittleren Unternehmen -Bundeseinheitliche
Qualifizierung für das Elektrohandwerk: Planung und Bau von Wasseranlagen, Öl-
und Gasheizungsanlagen",2014,,"2.310,00"
"AKKST, Inh. Bernhard Brischkofski, Antriebs-
,Kontroll- und Kommunikationstechnik in
Mühlenberge","Qualifizierung in kleinen und mittleren Unternehmen -Technische Regeln für
Trinkwasserinstallationen (TRWI), Technische Regel für Gas-Installationen (TRGI)",2014,"1.956,50",
"AkoTec Produktionsgesellschaft mbH -
Vakuumröhren-Kollektoren","Qualifizierung in kleinen und mittleren Unternehmen - praxisorientierte Anwendung
""myfactory"", Führungskräftetraining u. a.",2013,,"8.822,80"
