Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Andreas Joppe Havelland-Fleischerei Joppe GmbH,Erweiterung einer Fleischerei,2008,2011,"549.500,00 €","549.500,00 €"
"Andreas Wilke Ing.- Büro für Bauphysik und
Baukonstruktion GmbH","Beschäftigung eines Innovationsassistenten im Bereich Innovations-
/Produktions-/Umweltmanagement u. Produktentwicklung",2007,2009,"25.600,00 €","25.600,00 €"
"Andreon, Pietro","Erweiterung einer Betriebsstätte zur Herstellung und zum Vertrieb von
Eisprodukten",2010,2011,"17.100,00 €","17.100,00 €"
Angermünder Bildungswerk e. V.,"Errichtung eines Schulraumes für das Schulverweigerer- Projekt
""Berufsvorbereitende Oberschulklassen""",2012,,"82.268,59 €",
Anlagen- und Apparatebau Langengrassau GmbH,"Errichtung einer Betriebsstätte zur Herstellung von kälte- und
wärmetechnischen Erzeugnissen",2008,2008,"45.400,00 €","45.400,00 €"
Anlagenbau und Tanktechnik Elbe-Elster GmbH,"Beratung zum Aufbau eines Controllingsystems unter Berücksichtigung
der Anforderungen des Risikomanagements",2012,,"0,00 €",
Anlagenbau und Tanktechnik Elbe-Elster GmbH,"Beratung zur betrieblichen Organisation und zur Optimierungder
Prozesse",2009,2011,"6.000,00 €","6.000,00 €"
Anton Paar ProveTec GmbH,"Entwicklung eines CFPP mit Einbaukühler für die Kälteprüftechnik der
petrochemischen Industrie",2009,2012,"90.717,00 €","90.717,00 €"
Anton Paar ProveTec GmbH,"F&E Projekt zur Vervollständigung der neuen Produktlinie ""Flüchtigkeit""",2013,,"0,00 €",
Antonics-ICP GmbH,Beratung zum innerbetrieblichen Management und zum Marketing,2012,2013,"6.000,00 €","6.000,00 €"
Antonics-ICP GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung, Produktvorbereitung und Design",2012,,"0,00 €",
Antonics-ICP GmbH,"Messeteilnahme ""CeBIT 2014"" in Hannover",2014,,"1.710,00 €",
Antonics-ICP GmbH,"Messeteilnahme ""InnoTrans 2010"" in Berlin",2010,2011,"4.300,00 €","4.300,00 €"
Antonics-ICP GmbH,"Messeteilnahme ""InnoTrans 2014"" in Berlin und ""PMRExpo 2014"" in
Köln",2014,,"7.500,00 €",
Antonics-ICP GmbH,"Messeteilnahme ""itcs 2014"" in Köln",2014,,"1.990,00 €",
Antonics-ICP GmbH,"Messeteilnahme ""IT-Trans 2014"" in Karlsruhe",2014,,"5.590,00 €",
Antonics-ICP GmbH,"Messeteilnahme ""PMRExpo 2013"" in Köln",2014,,"0,00 €",
Antonics-ICP GmbH,"Messeteilnahme: ""CeBIT 2012"" in Hannover",2012,2012,"2.390,00 €","2.390,00 €"
Antonics-ICP GmbH,"Messeteilnahme: ""Innotrans 2012"" in Berlin",2012,2013,"3.490,00 €","3.490,00 €"
Antonics-ICP GmbH,"Messeteilnahmen: ""InnoTrans 2008"" in Berlin und ""GPEC 2008""in
München",2008,2009,"7.650,00 €","7.650,00 €"
Antriebsmechanik Kulling GmbH,Umstellung einer Betriebsstätte zur Herstellung von Maschinenteilen,2009,2009,"14.200,00 €","14.200,00 €"
APAC Aluminiumgießerei GmbH,Beratung für eine optimierte Markteintrittsstrategie,2008,2009,"13.030,00 €","13.030,00 €"
APAC Aluminiumgießerei GmbH,"Beratung zum Projektmanagement, Logistikprozesse",2007,2009,"11.810,00 €","11.810,00 €"
APAC Aluminiumgießerei GmbH,"Erweiterung einer Betriebsstätte zur Herstellung und Vertrieb von
Gußteilen",2008,2011,"345.808,00 €","345.808,00 €"
"Apitz, Volker",Einbau eines BHKW,2010,2011,"22.516,00 €","22.516,00 €"
AP-Luftfilter GmbH,"Beratung zur Konzepterstellung zur Risikovorsorge und zur Sicherung
des Unternehmenswachstums",2008,2009,"12.500,00 €","12.500,00 €"
AP-Luftfilter GmbH,"Diversifizierung einer Betriebsstätte zur Produktion und Herstellung von
Luftfiltern",2009,2014,"15.626,00 €","15.626,00 €"
Apps2Go GmbH,"SoreDoc: Mobile, tabletbasierte Wunddokumentation",2012,2013,"89.340,00 €","89.340,00 €"
AquaCut GmbH,"Erweiterung einer Betriebsstätte zur Durchführung von
Zuschnittarbeiten verschiedener Werkstoffe",2008,2009,"133.098,00 €","133.098,00 €"
AQUARE Bootswerft GmbH,"Messeteilnahme: ""Boot Düsseldorf 2009""",2008,2009,"7.500,00 €","7.500,00 €"
AQUARE Bootswerft GmbH AQUARE Charter GmbH,Errichtung einer Betriebsstätte für Bootsbau und Vercharterung,2008,2013,"869.561,00 €","869.561,00 €"
AquaSoft GmbH,"Messeteilnahme ""PhotoKina 2008"" in Köln",2008,2009,"1.530,00 €","1.530,00 €"
aquata Produktions- und Entwicklungsgesellschaft mbH,"Errichtung einer Betriebsstätte zur Herstellung von Taucher- und
Rettungsanzügen etc.",2008,2011,"99.331,84 €","99.331,84 €"
aquata Produktions- und Entwicklungsgesellschaft mbH,"Messeteilnahme ""Boot 2010"" in Düsseldorf",2010,2011,"3.100,00 €","3.100,00 €"
aquata Produktions- und Entwicklungsgesellschaft mbH,"Messeteilnahme ""Posidonia 2010"" in Athen, Griechenland",2010,2011,"3.300,00 €","3.300,00 €"
aquata Produktions- und Entwicklungsgesellschaft mbH,"Messeteilnahme: ""Boot 2012"" in Düsseldorf",2011,2012,"3.810,00 €","3.810,00 €"
aQua-thermic Bohrgesellschaft mbH,SERES - selbstregulierender Strömungswächter,2011,2014,"45.137,00 €","45.137,00 €"
AQUAWORKER KG,Errichtung einer Betriebsstätte zur Erbringung von Dienstleistungen,2008,2010,"18.000,00 €","18.000,00 €"
AQUILA Aviation GmbH,"Messeteilnahmen ""AERO 2014"" in Friedrichshafen, ""ILA 2014"" in
Schönefeld und ""EAA Air Venture 2014"" in Oshkosh (USA)",2014,2014,"6.650,00 €","6.650,00 €"
araneaNET GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Technologiemarketing und betriebswirtschaftliches Management",2009,2010,"8.500,00 €","8.500,00 €"
araneaNET GmbH,"Erweiterung einer Betriebsstätte zur Erbringung von IT-
Dienstleistungen, Consulting und Systemintegration",2008,2014,"420.112,00 €","420.112,00 €"
Arbeit und Leben e.V. (DGB/VHS),"Anpassung und Ausbau des Internetportals sowie der Arbeitsplattform
zur Weiterbildungsberatung im Land Brandenburg",2011,,"15.738,25 €",
Arbeit und Leben e.V. (DGB/VHS),"Anpassung und Ausbau des Internetportals sowie der Arbeitsplattform
zur Weiterbildungsberatung im Land Brandenburg",2011,,"12.876,75 €",
Arbeit und Leben e.V. (DGB/VHS),"Bereitstellung eines vernetzten Internetportals für alle
Weiterbildungsstandorte",2010,2011,"25.455,33 €","25.455,33 €"
Arbeit und Leben e.V. (DGB/VHS),"Bereitstellung eines vernetzten Internetportals für alle
Weiterbildungsstandorte",2010,2011,"20.827,08 €","20.827,08 €"
"ARCUS Planung + Beratung Bauplanungsgesellschaft
mbH Cottbus","Entwicklung eines neuartigen, innovativen Programms für
dieAuslegung von Bio-Verbundstandorten",2007,2010,"372.800,00 €","372.800,00 €"
"ARCUS Planung + Beratung Bauplanungsgesellschaft
mbH Cottbus","Technol. und Verfahren des Meta-Diesel-Prozesses zur Herstellung
flüssiger Treibstoffe aus Erdgas, Erdölbegleitgas,C-haltige Gase",2012,,"400.000,00 €",
ARGE - IP Factory,Aufbau eines Netzwerkes im Bereich IPTV,2008,,"0,00 €",
"ARGE ""Brillenfassungen in Rathenow""","Entwicklung u. Sicherung der Zukunftsfähigkeit des Kompetenz feldes
Brillenfassungen am Standort Rathenow",2008,2012,"187.397,47 €","187.397,47 €"
"ARGE ""Brillenfassungen in Rathenow""","Entwicklung u. Sicherung der Zukunftsfähigkeit des Kompetenz- feldes
Brillenfassungen am Standort Rathenow",2008,2013,"27.532,52 €","27.532,52 €"
"ARGE ""Triple Bike""","ARGE ""Triple Bike"" Vermarktung des ""asymmetrischen Dreirades mit
Kurvenneigung""",2008,2010,"259.670,00 €","259.670,00 €"
ARGE Elektronisch Geführte Erlebnis-Touren (eGet),"Entwicklung/Vermarktung einer Kommunikations- und
Transaktionsplattform f. elektr. geführte Erlebnis-Touren",2008,2012,"237.750,00 €","237.750,00 €"
ARGE Metalltech VR China,"Marketing, Markterschließung VR China",2008,,"242.565,40 €",
ARGE Modifiziertes Holz,"ARGE ""Modifiziertes Holz"" - Verbesserung der Marktchancen durch
Kooperation und Innovation",2008,2012,"197.425,60 €","197.425,60 €"
ARGE Modifiziertes Holz,"ARGE ""Modifiziertes Holz"" - Verbesserung der Marktchancen durch
Kooperation und Innovation",2008,2012,"49.356,40 €","49.356,40 €"
ARGE WARETEX Sortieranlagen und Lagertechnik,"Entwicklung automatischer Lager- und Kommissioniertechnik für ind.
Großwäschereien",2010,,"184.784,00 €",
ARGE WARETEX Sortieranlagen und Lagertechnik,"Entwicklung automatischer Lager- und Kommissioniertechnik für ind.
Großwäschereien",2010,,"27.169,00 €",
Arlanis Reply AG,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2009,2013,"25.000,00 €","25.000,00 €"
Arlts Backstuben GmbH & Co. KG,Errichtung neuer Backöfen,2013,2014,"44.925,00 €","44.925,00 €"
"Arsand, Raik","Beratung zur Weiterentwicklung des zertifizierten QMS auf Basis der
neuen DIN EN ISO 9001:2008",2009,2011,"5.100,00 €","5.100,00 €"
artec Armaturen und Industrieservice GmbH,"Erweiterung einer Betriebsstätte zur Herstellung und Instandhaltung
von Regel- und Absperrarmaturen",2011,2014,"358.397,00 €","358.397,00 €"
ARTS Deutschland GmbH,"Messeteilnahme ""AERO 2009"" in  Friedrichshafen",2008,2010,"3.770,00 €","3.770,00 €"
ARTS Deutschland GmbH,"Messeteilnahme ""Connecticum 2008"" in Berlin",2008,2008,"3.180,00 €","3.180,00 €"
ARTS Deutschland GmbH,"Messeteilnahme: ""AIRTEC 2008"" in Frankfurt/ Main",2008,2010,"2.250,00 €","2.250,00 €"
arvato direct services Brandenburg GmbH,Erweiterung der Betriebsstätte (Call Center),2009,,"0,00 €",
arvato direct services Cottbus GmbH,Erweiterung einer Betriebsstätte- Call Center,2007,2009,"200.212,00 €","200.212,00 €"
ARXES Information Design Berlin GmbH,"Begleitende Beratung zum Aufbau eines Qualitätsmanagement-
systems für das Geschäftsfeld Engineering",2010,2011,"6.000,00 €","6.000,00 €"
ARXES Information Design Berlin GmbH,"Forschung und Entwicklung eines automatischen Prüfverfahrens u.
Systems für die In-situ Prüfung unbehandelter Oberflächen",2011,,"438.300,00 €",
ARXES Information Design Berlin GmbH,"Industrielle Erforschung von neuer Messsensorik für die
Automatisierung der zerstörungsfreien Prüfung",2008,2011,"445.183,00 €","445.183,00 €"
ARXES Information Design Berlin GmbH,"Messeteiln.: ""Hannover Messe 2010"" in Hannover und ""InnoTrans
2010"" in Berlin",2010,2011,"4.630,00 €","4.630,00 €"
ARXES Information Design Berlin GmbH,"Messeteilnahme ""Industrial Automation 2013"" in Hannover",2013,2013,"2.720,00 €","2.720,00 €"
ARXES Information Design Berlin GmbH,"Messeteilnahmen:""Industrial Automation 2012"" in Hannover und
""InnoTrans 2012"" in Berlin",2011,2013,"4.400,00 €","4.400,00 €"
ASCORI GmbH & Co. KG,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung",2008,2010,"25.000,00 €","25.000,00 €"
ASCORI GmbH & Co. KG,"Messeteilnahme ""Industrial Automation 2015"" in Hannover",2014,,"3.750,00 €",
ASG Anerkannte Schulgesellschaft mbH,"Ergänzung der IT-Ausstattung am Neuen Gymnasium Potsdam
(Babelsberger Filmgymnasium)",2011,2015,"47.990,37 €","47.990,37 €"
asgoodasnew electronics GmbH,"Beschäftigung von zwei Innovationsassistenten im Bereich Innovations-
/Produktions-/Umweltmanagement, Technologiemarketing",2009,2011,"31.499,00 €","31.499,00 €"
asgoodasnew electronics GmbH,"Weiterentwicklung eines webbasierten Systems für Inzahlungnahme
und Wiederaufbereitung von Konsumelektronik",2010,,"173.000,00 €",
ASK Antriebssysteme + Komponenten GmbH,Beratung zur Einführung eines ERP-Systems,2007,2008,"7.500,00 €","7.500,00 €"
ASK Antriebssysteme + Komponenten GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von Lagern, Getrieben
und Zahnrädern",2008,2012,"618.494,00 €","618.494,00 €"
ASK Antriebssysteme + Komponenten GmbH,"Messeteilnahme ""Valve World Expo 2012"" in Düsseldorf",2012,2013,"4.700,00 €","4.700,00 €"
Askania AG Vorstand,Messeteilnahmen in Deutschland 2011/2012,2011,,"0,00 €",
"ASL Automationssysteme Leske GmbH Andreas Leske
IVL Immobilienverwaltung",Erweiterung einer Betriebsstätte zur Herstellung von Sondermaschinen,2010,2014,"154.800,00 €","154.800,00 €"
ASL-Automationssysteme Leske GmbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-
/Produktions-/Umweltmanagement u. Produktentwicklung",2008,2010,"27.140,00 €","27.140,00 €"
ASL-Automationssysteme Leske GmbH,"Messeteilnahme ""Hannover Messe 2015"" in Hannover",2014,,"3.600,00 €",
AS-medical GmbH,Emergency Medical Services-Trainer für den Rettungsdienst,2009,,"0,00 €",
"Asmus, Arno","Beratung zu wirtschaftlichen, finanziellen, personalwirtschaftl. und
organisatorischen Problemen",2008,,"0,00 €",
ASSA Systems GmbH,Messeteilnahme: Hannover Messe,2008,2008,"2.000,00 €","2.000,00 €"
Assystem GmbH,"Verfahren zur teilautomatischen Kurvennetzwerkerzeugung
fürOberflächen",2009,,"0,00 €",
ASTOR Schneidwerkzeuge GmbH,"Beratung zur Erschließung der Regionen Naher/Mittlerer Osten und
Indien",2007,2008,"37.500,00 €","37.500,00 €"
ASTOR Schneidwerkzeuge GmbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-
,Produktion- u. Umweltmanagem.; Produktentwicklung",2008,2011,"25.000,00 €","25.000,00 €"
ASTOR Schneidwerkzeuge GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung, Herstellung und
Vertrieb von Industriemessern",2007,2010,"348.211,00 €","348.211,00 €"
ASTOR Schneidwerkzeuge GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung, Herstellung und
Vertrieb von Industriemessern",2008,2010,"154.029,00 €","154.029,00 €"
ASTOR Schneidwerkzeuge GmbH,"Messeteilnahme ""südback 2014"" in Stuttgart",2014,,"8.620,00 €",
ASTOR Schneidwerkzeuge GmbH,"Messeteilnahme: ""IFFA 2013"" in Frankfurt am Main",2013,2014,"14.300,00 €","14.300,00 €"
Astra Biotech GmbH,"Messeteilnahme: ""Analytika 2012"" in München",2012,2012,"4.640,00 €","4.640,00 €"
Astra Biotech GmbH,"Messeteilnahme: ""WorldLab and EuromedLab 2011"" in Berlin",2011,2011,"3.250,00 €","3.250,00 €"
Astra Biotech GmbH,"Messeteilnahmen: ""Medica 2011"" in Düsseldorf und ""Arab Health
2012"" in Dubai",2011,2012,"2.030,00 €","2.030,00 €"
Astra Biotech GmbH,"Messeteilnahmen: ""Medica 2012"" in Düsseldorf und ""Arab Health 2013
in Dubai",2012,,"0,00 €",
ATeNe GmbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produktions- und Umweltmanagement",2008,2010,"21.560,00 €","21.560,00 €"
ATG Sitec GmbH,"Messeteilnahmen: ""Counter Terror Exhibition 2012"" in London, ""GPEC""
2012 in Leipzig",2012,2013,"6.210,00 €","6.210,00 €"
Athena DiaX GmbH,"Entwicklung und Validierung eines Always EKG zur Präventionvon
Schlaganfällen",2013,2014,"50.970,00 €","50.970,00 €"
Athenion GmbH Geschäftsführung,"Erweiterung einer Betriebsstätte z. Verwaltung und Verwertung v.
Lizenzen u. Patenten im pharmazeutischen Bereich",2008,2014,"348.467,00 €","348.467,00 €"
Atlas Informationssysteme GmbH,"Entwicklung eines neuartigen Controllingmoduls als Ergänzung der
Software PROVISION",2008,2012,"113.600,00 €","113.600,00 €"
Atlas Informationssysteme GmbH,"Markteinführung und Vertrieb von ""PROVISION""",2008,2009,"19.900,00 €","19.900,00 €"
ATS-Bau GmbH,"Marktanalyse für den Vertrieb von Wohn- und Verwaltungsgebäuden
als Modulsystem in Vietnam",2008,2009,"24.700,00 €","24.700,00 €"
Attomol GmbH Molekulare Diagnostika,"Microblot 2.0 - Entwicklung eines multiparameterischen Testsyste ms
zur Bestimmung von Antikörpern in Patientenseren",2009,2014,"185.550,00 €","185.550,00 €"
"Audita Auditing & Controlling GmbH & Co. KG
Wirtschaftsprüfungsgesellschaft","Beschäftigung eines Innovationsassistenten im Bereich
betriebswirtschaftliches Management",2011,2014,"19.552,00 €","19.552,00 €"
Augenblick GmbH,"Messeteilnahme ""Cosmetica Berlin 2013"" in Berlin",2014,2014,"3.830,00 €","3.830,00 €"
Augenoptik Berger / Thieß GbR,"Erweiterung einer Betriebsstätte zur Herstellung und zum Vertrieb von
Erzeugnissen der Augenoptik",2009,2012,"42.561,00 €","42.561,00 €"
August Faller KG,"Errichtung einer Betriebsstätte zum Lagern, Kommissionierenvon
pharmazeutischen Sekundärpackmitteln",2009,,"0,00 €",
"Augustin, Ilona","Modernisierung einer Betriebsstätte für den Einzelhandel mit
Bekleidung",2011,2012,"7.113,00 €","7.113,00 €"
"Augustin, Ilona",Modernisierung einer Betriebsstätte für Einzelhandel mit Bekleidung,2014,2014,"9.817,00 €","9.817,00 €"
Aumann Berlin GmbH,"Entwicklung einer neuen Steuerungs- und Softwaretechnologiefür
Wickelmaschinen",2011,,"229.700,00 €",
Aust & Köckritz Metallrestauration GbR,Erweiterung einer Betriebsstätte des Ziseleurhandwerkes,2008,,"0,00 €",
AUTEAM Industrie-Elektronik GmbH,"Entwicklung einer Prozesssteuerungs- und Prozessregelungseinheit für
eine neue Technologie zur Kristallisation von Solar-Silicium",2008,2012,"174.100,00 €","174.100,00 €"
AUTEV AG,"Beratung zur Markterschließung für hochwertig innovative technische
LED Mastleuchten",2008,,"0,00 €",
AUTEV AG,"Beschäftigung eines Innovationsassistenten im Bereich
betriebswirtschaftliches Management",2007,2009,"24.610,00 €","24.610,00 €"
AUTEV AG,"Erweiterung einer Betriebsstätte zur Herstellung von LED-
Leuchtmitteln und Erbringung produktionsnaher Dienstleistungen",2008,,"0,00 €",
Autodienst Hoppegarten GmbH,"Beratung zur Erstellung von Vermarktungsstrategien im
Unternehmensbereich Nutzfahrzeuge",2011,,"0,00 €",
Autohaus an der Wilhelmsbrücke GmbH,"Modernisierung einer Betriebsstätte für Handel, Instandhaltung und
Reparatur von Kraftfahrzeugen",2011,2014,"188.906,00 €","188.906,00 €"
Autohaus Cottbus (AHC) GmbH,"begl. Beratung zur Vorbereitung u. Einführung eines kontinuierl.
Verbesserungsprozesses in den Service- und Verkaufsbereichen",2009,2011,"16.800,00 €","16.800,00 €"
Autohaus Cottbus (AHC) GmbH,"Begleitende Beratung zum Aufbau und der Implementierung eines
Arbeitssystems Servicequalität (AS-SQ)",2014,2015,"17.050,00 €","17.050,00 €"
Autohaus Cottbus (AHC) GmbH,"Begleitende Beratung zur Prozessoptimierung ausgewählter
Kernprozesse im Autohaus Cottbus GmbH",2011,,"0,00 €",
Autohaus Frunzke GbR,"Beratung zur Optimierung des Rechnungswesens, Grundlagen zur
Einführung eines Controllings, Personalmanagement",2012,,"0,00 €",
Autohaus Günter Neumann GmbH Geschäftsführung,"Beratung zur Optimierung der Organisation und Prozesse im Kfz.-
Handel",2011,2012,"13.600,00 €","13.600,00 €"
Autohaus Kleist GmbH,"Erweiterung und Modernisierung einer Betriebsstätte für denHandel,
die Reparatur sowie Instandsetzung von Kraftfahrzeugen",2011,2014,"6.546,00 €","6.546,00 €"
Autohaus Krüger GmbH,"Beratung zur Markterschließung Bulgarien, Serbien und Rumänien für
gesicherte Sonderfahrzeuge",2008,2009,"23.100,00 €","23.100,00 €"
Autohaus Sternagel GmbH,"Beratung zur Vorbereitung und Einführung eines kontinuierlichen
Verbesserungsprozesses (KVP) in den Servicebereichen",2012,,"0,00 €",
Autohaus Wilk GmbH,Modernisierung der Heiz- und Lackieranlage,2013,2013,"11.010,00 €","11.010,00 €"
AUTOMAC GmbH & Co. KG,Messeteilnahme: BAUMA 2008 in Shanghai VR China,2008,2009,"8.750,00 €","8.750,00 €"
AUTOMAC GmbH & Co. KG,Rationalisierung einer Betriebsstätte des Maschinenbaus,2007,,"0,00 €",
Avado Data UdL GbR,"Mobile eANV mit qualifizierter elektronischer Signatur in der
Abfallwirtschaft",2012,,"98.500,00 €",
avado Projects GmbH,"Beschäftigung eines 2. Innovationsassistenten im Bereich
Technologiemarketing",2010,2012,"23.326,00 €","23.326,00 €"
avado Projects GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2009,2012,"27.100,00 €","27.100,00 €"
avado Projects GmbH,Messeteilnahme: CeBIT in Hannover,2008,2008,"2.070,00 €","2.070,00 €"
avado Systems Binder & Weber GbR,"Beschäft. eines Innov.assistenten im Innovations-/Produktions-/
Umweltmanagement; Produktentwicklung/-vorbereitung/Design",2012,2014,"28.290,00 €","28.290,00 €"
