Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Amt Unterspreewald,"Digitalisierung und Veröffentlichung von Bauleitplanungsdaten,
Katastrophenschutz u. Tourismusinform. u. Aufbau eines Geoportal",2010,2012,"42.697,20 €","42.697,20 €"
Amt Wusterwitz,"Erstellung eines Energiekonzeptes zur Energetischen Sanierung der
Ganztagsschule ""Wilhelm Götze""",2014,,"18.000,00 €",
Amt Ziesar,"Studie zur energieeffizienten Wärmeversorgung der Objekte im
Umkreis der Burg Ziesar",2008,2008,"5.200,00 €","5.200,00 €"
AnalytiCon Discovery GmbH,"Entwicklung Naturstoff-basierter Wirkstoffe zur Prävention und
Therapie von Typ-2 Diabetes Mellitus",2008,2013,"499.073,00 €","499.073,00 €"
AnalytiCon Discovery GmbH,"Erweiterung einer Betriebsstätte für naturstoffbasierte Wirkstoff-
Forschung- und -entwicklung",2008,2013,"234.390,00 €","234.390,00 €"
AnalytiCon Discovery GmbH,Managementberatung im Bereich Biotechnologie-/Lifescience,2012,2014,"15.400,00 €","15.400,00 €"
AnaTox GmbH & Co. KG,Beratung zur Markterschließung,2008,2010,"13.590,00 €","13.590,00 €"
AnaTox GmbH & Co. KG,"Entwicklung von AIQ-Prozeduren für Analytikgeräte in der
Pharmaindustrie",2010,2014,"96.261,61 €","96.261,61 €"
AnaTox GmbH & Co. KG,"Messeteilnahmen: ""Analytica 2008"", PITTCON 2009 und L.A.B. 2009""",2008,2008,"2.430,00 €","2.430,00 €"
AnaTox GmbH & Co. KG,"Messeteilnahmen: ""PITTCON 2010"" in Orlando und ""Analytica 2010"" in
München+Beratungsleistungen Messen (Ausland)",2010,2011,"7.400,00 €","7.400,00 €"
"Anders, Bernd",Errichtung einer Abwärmenutzungsanlage,2010,2010,"5.700,00 €","5.700,00 €"
