Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
Autohaus Triebel GmbH;2015 TIZ 0138;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Autohaus;01.04.2015;31.03.2017;235.000,00 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus vom Roßplatz Inh. Olaf Schmidt e.K.;2015 TIZ 0412;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.03.2016;30.10.2016;365.000,00 €;80%;7607;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Welz GmbH;2015 TIZ 0154;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.04.2015;31.12.2015;55.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Wolf Schnitter;2015 TIZ 0045;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;15.02.2015;28.02.2016;140.000,00 €;80%;99947;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
automation Uhr GmbH;2016 IVW 0055;Erforschung eines modularen Baukastensystems für eine automatisierte Back-end-Fertigung für flexible OLED-Module;24.06.2016;31.01.2017;50.000,00 €;80%;7629;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Autopoint-Nordhausen GmbH;2015 TIZ 0095;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen;02.03.2015;31.01.2016;151.316,83 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autoteile Nucke Inh. Torsten Nucke;2015 TIZ 0297;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.08.2015;31.01.2016;91.000,00 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Avantos Automobile GmbH;2015 TIZ 0137;Durchführung von baulichen Investitionen und Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;13.04.2015;30.12.2016;250.000,00 €;80%;7743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AVH GmbH;2015 TIZ 0157;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.04.2015;31.08.2015;340.000,00 €;80%;99947;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Avia Servicestation Schweina Inh. Daniela Bachmann;2015 TIZ 0314;Anschaffung einer Waschanlage und SB-Waschplätze für das Unternehmen;06.08.2015;31.12.2015;125.000,00 €;80%;36448;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AVIA Station Renè Hartenauer;2015 TIZ 0343;Durchführung baulicher Investitionen und Anschaffung einer neuen Portalwaschanlage und einer Heizungstherme für das Unternehmen;26.08.2015;25.08.2017;79.500,00 €;80%;7422;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AWS Fertigungstechnik GmbH;2016 EEB 0023;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die AWS Fertigungstechnik GmbH;15.02.2016;31.05.2016;11.575,00 €;80%;7381;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
axxo-Design GmbH;2016 TIZ 0009;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;28.01.2016;31.12.2016;250.000,00 €;80%;7554;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
B & B Maschinenbau GmbH;2016 TIZ 0087;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;14.03.2016;31.12.2016;212.835,00 €;80%;99867;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
b + b Gerätetechnik GmbH & Co. KG;2015 TIZ 0179;Kauf eines neuen Bearbeitungszentrums im Rahmen von Energieeffizienzmaßnahmen entsprechend des Energieberatungsberichtes;27.04.2015;26.04.2017;202.900,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
B.I.M. Putztuch GmbH & Co. KG;2015 EEB 0040;Durchführung einer Energieefizienzberatung (Situationsanalyse) für das Unternehmen BIM Putztuch GmbH & Co.KG;12.10.2015;12.05.2016;12.600,00 €;80%;99834;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei - Mario Treibmann e.K.;2015 EEB 0094;Durchführung einer Energieeffizienzmaßnahme (Situationsanalyse) für die Bäckerei Mario Treibmann e.K.;23.11.2015;31.03.2016;8.800,00 €;80%;7548;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei & Konditorei Czech Inh. André Czech;2015 EEB 0033;Durchführung einer Energieeffizienzberatung (Situationsanalys) in der Bäckerei Czech;15.10.2015;28.03.2016;12.725,00 €;80%;7743;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei & Konditorei Hill Inh. Steffen Hill;2015 EEB 0117;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Bäckerei Hill;20.12.2015;31.05.2016;12.725,00 €;80%;36433;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei & Konditorei Malter Inh. Ronny Malter;2015 EEB 0072;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Bäckerei- Konditorei Malter;01.11.2015;31.03.2016;11.162,50 €;80%;96528;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei & Konditorei Rüdiger Baum;2015 EEB 0105;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Bäckerei Baum;20.12.2015;30.04.2016;7.300,00 €;80%;99091;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei & Konditorei Steffen Meyer;2016 TIZ 0113;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;31.03.2016;30.06.2016;35.001,00 €;80%;99192;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Blume Inh. Susann Blume;2015 EEB 0111;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Bäckerei Blume, Inh. Susann Blume;20.12.2015;30.04.2016;7.300,00 €;80%;7768;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei Dieter Siemon;2015 TIZ 0170;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.07.2015;31.12.2015;200.000,00 €;80%;99830;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Eckardt GmbH;2015 TIZ 0495;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.12.2015;31.12.2016;660.000,00 €;80%;36456;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Frank Scheidig;2015 TIZ 0209;Durchführung baulicher Investitionen für das Unternehmen;01.06.2015;31.12.2015;228.000,00 €;80%;98544;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Gießler, Inh. Sandra Wuthnow e. K.;2016 TIZ 0114;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;24.03.2016;31.12.2017;10.000,00 €;80%;7973;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Höhne e.K. Inh. Silvio Höhne;2015 TIZ 0151;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;15.04.2015;31.12.2016;250.000,00 €;80%;99628;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Höhne e.K. Inh. Silvio Höhne;2015 TIZ 0419;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.01.2016;31.12.2017;250.000,00 €;80%;99628;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Jürgen Eichholz Der Frische Bäcker!;2015 EEB 0062;Durchführung einer Energieefizienzberatung (Situationsanalyse) für die Bäckerei Eichholz;01.11.2015;28.02.2016;12.725,00 €;80%;99826;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei Martin Bickel;2015 TIZ 0364;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;03.09.2015;31.10.2015;81.029,41 €;80%;37351;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
BÄCKEREI Mike Bärschneider;2016 EEB 0017;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Bäckerei Bärschneider;01.02.2016;30.04.2016;7.790,00 €;80%;7368;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei Mike Bieneck;2015 TIZ 0384;Anschaffung neuer Geräte für die Bäckerei;01.11.2015;31.12.2015;56.500,00 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei Riethmüller Inh. Heinz Riethmüller;2016 EEB 0080;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Bäckerei Heinz Riethmüller;01.05.2016;31.08.2016;7.600,00 €;80%;99438;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei Rost Inh. Sebastian Kluge;2016 EEB 0096;Durchführung einer Situationsanalyse bei der Bäckerei Rost in 99817 Eisenach, Stresemannstr. 1a;01.06.2016;30.09.2016;8.200,00 €;80%;99817;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei Stefan Glock;2015 EEB 0018;Durchführung einer Energieeffizienzberatung für das Unternehmen Bäckerei Glock;24.09.2015;24.04.2016;12.600,00 €;80%;36460;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei und Café Manfred Walther;2015 TIZ 0349;Anschaffung neuer Maschinen und Einrichtung für die Filiale in;01.09.2015;30.01.2016;42.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei und Café Manfred Walther;2016 TIZ 0150;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;21.04.2016;01.03.2017;70.000,00 €;80%;98743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bäckerei und Konditorei Horst Kreuter Inh. André Helmke;2016 EEB 0088;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Bäckerei und Konditorei Horst Kreuter;01.06.2016;31.10.2016;8.800,00 €;80%;99099;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei und Konditorei Martin Kaiser;2016 EEB 0067;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Bäckerei und Konditorei Martin Kaiser;01.07.2016;31.10.2016;12.600,00 €;80%;98596;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei und Konditorei Räthe Inh. Tobias Walter e.K.;2016 EEB 0001;Durchführung einer Energieeffizienzberatung (Situationanalyse) bei der Bäckerei und Konditorei Räthe in 07318 Saalfeld, Kulmbacher Str. 74;25.01.2016;30.06.2016;7.300,00 €;80%;7318;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei Wenzel Stefan Wenzel;2015 EEB 0112;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Bäckerei Wenzel;15.12.2015;30.04.2016;12.725,00 €;80%;7333;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei-Cafe-Lebensmittel Silvio Zehendner;2016 EEB 0079;Durchführung einer Energieefizienzberatung (Situationsanalyse) für das Unternehmen Bäckerei Silvio Zehendner;01.05.2016;31.08.2016;8.200,00 €;80%;98711;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bäckerei-Hamdorf Jörg Hamdorf;2015 TIZ 0443;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;18.11.2015;28.02.2016;68.460,00 €;80%;99518;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Backstube Germar GmbH;2016 TIZ 0007;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.02.2016;30.03.2017;449.000,00 €;80%;7743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
BÄKO Thüringen eG;2016 EEB 0130;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen BÄKO Thüringen eG;15.07.2016;30.10.2016;12.725,00 €;80%;99198;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bätzoldts Garten-u. Landschaftsbau Inh. Dipl.-Ing. Steffen Bätzoldt;2016 TIZ 0115;Anschaffung neuer Maschinen und Einrichtungen durch die Besitzgesellschaft Bätzoldt`s Garten- und Landschaftsbau zur Vermietung an die Bätzoldt's Garten- und Landschaftsbau GmbH (Betriebsgesellschaft);01.04.2016;31.03.2018;250.000,00 €;80%;6567;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bau- & Möbeltischlerei HOLZ-BÜCHEL Inh. Mirko Büchel;2015 TIZ 0276;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.07.2015;22.01.2016;124.219,49 €;80%;7570;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
BAUERSCHMIDT KUNSTSTOFF GMBH;2015 EEB 0122;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen BAUERSCHMIDT KUNSTSTOFF GMBH;01.01.2016;30.08.2016;12.600,00 €;80%;98593;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
BAUERSCHMIDT KUNSTSTOFF GMBH;2016 EEI 0129;Erneuerung der Kälteerzeuger, Austausch der Umwälzpumpen, Umstellung auf LED im Unternehmen Bauerschmidt Kunststoff GmbH;27.06.2016;01.02.2017;166.146,00 €;80%;98593;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bauhaus Universität Weimar;2015 FGI 0004;Gekoppeltes Thermoanalysesystem zur Ermittlung einer adäquaten Rohstoffperformancefür nachhaltige Bindebaustoffe;01.06.2016;30.04.2017;237.881,00 €;80%;99423;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Bauhaus Universität Weimar;2015 FGI 0005;Schlieren-Verfahren zur Visualisierung von Raumluftströmungen;01.05.2016;31.01.2018;392.700,00 €;80%;99423;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Bauhaus-Universität Weimar;2015 FOR 0002;Labor zur Entwicklung und Herstellung von Funktionsprototypen;01.08.2015;30.11.2016;419.600,00 €;80%;99423;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Bautischlerei CNC Holzbearbeitung Lutz Greiner Meisterbetrieb;2015 TIZ 0117;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.04.2015;31.03.2016;28.266,06 €;80%;96523;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Becker Werbung Jens Becker;2015 TIZ 0288;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;10.07.2015;31.12.2015;40.000,00 €;80%;37327;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bergmann & Sohn GmbH Brot-, Weiß- und Feinbäckerei;2015 EEI 0059;Umsetzung von Energieeffizienzmaßnahmen (Errichtung Abgaswärmetauscher mit Anschluss Backöfen, Umrüstung Kistenwaschanlage,  Abluftnutzung Backraum und Verdichteraum zur Beheizung von Verladeraum und Kistenlager) für die Bäckerei Bergmann & Sohn GmbH;23.10.2015;30.09.2016;153.883,03 €;80%;99638;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Bergmann & Sohn GmbH Brot-, Weiß- und Feinbäckerei;2015 TIZ 0084;Kauf einer neuen Backofenanlage für das Unternehmen;24.02.2015;31.10.2016;600.000,00 €;80%;99638;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Bernd Senge Trockenbau und Akustikbau GmbH & Co. KG;2016 TIZ 0069;Errichtung einer neuen Halle mit Sozialräumen durch den Gesellschafter Bernd Senge im Rahmen einer Mitunternehmerschaft im Sinne des § 15 EStG zur Vermietung an das Unternehmen Bernd Senge Trockenbau und Akustikbau Senge GmbH & Co. KG;15.03.2016;31.12.2017;304.000,00 €;80%;37339;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Besitzgesellschaft Alexander Schmidt;2015 TIZ 0196;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen durch das Einzelunternehmen Alexander Schmidt (Besitzgesellschaft) zur Vermietung an die Schmidt Olbersleben UG (Betriebsgesellschaft);15.05.2015;31.12.2016;150.000,00 €;80%;99628;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Besitzgesellschaft Kai Prengel;2015 TIZ 0174;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen durch die Besitzgesellschaft Kai Prengel zur Vermietung an die Prengel Gastronomie- und Handels GmbH (Betriebsgesellschaft);23.04.2015;30.04.2016;300.000,00 €;80%;99762;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
