Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
ARGE Elektromobilität Steiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"40.600,00",A
ARGE Erdwärme GmbH,Innovationsdienstleistung für Unternehmen,"24.241,50",A
ARGE Erdwärme GmbH,Innovationsdienstleistung für Unternehmen,"23.400,00",A
ARGE Leibnitzer Feld West,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"29.880,00",A
ARGE RegionalCard Murtal,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"106.515,34",A
ARGE Rosenanbau und Verwertung,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"21.168,00",A
"ARGE Science Fit vertreten durch TU Graz, Organisationseinheit
Forschungs- & Technologie (F&T)-Haus",Projekt im Bereich Technologietransfer / KMU-Kooperation,"736.130,00",G
"ARIAN Gesellschaft m.b.H., A REAL Liegenschaftsverwaltungs GmbH",Innovationsdienstleistung für Unternehmen,"40.320,00",A
"ARIAN Gesellschaft m.b.H., A REAL Liegenschaftsverwaltungs GmbH",Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.215.191,95",A
Arian Gesellschaft m.b.H.; A REAL Liegenschaftsverwaltungs GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"451.563,25",A
Arland Gesellschaft f. Informationstechnologie mbH,Innovationsdienstleistung für Unternehmen,"5.492,32",A
Arnold Consulting e.U.,Innovationsdienstleistung für Unternehmen,"2.080,00",A
Arnold Consulting e.U.,Innovationsdienstleistung für Unternehmen,"1.560,00",A
AS Prototyping GmbH,Unternehmensinvestition mit Innovationsbezug,"137.125,53",A
Astrid Eva Reicht,Innovationsdienstleistung für Unternehmen,"8.000,00",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"106.173,00",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"8.437,50",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.479.193,59",G
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"1.584,80",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"3.911,46",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"14.184,12",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"18.633,68",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"19.214,52",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"12.893,27",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"27.697,46",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"5.990,29",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"2.240,00",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"560,00",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"2.310,11",A
ATB Spielberg GmbH,Innovationsdienstleistung für Unternehmen,"3.097,00",A
ATENSO e.U.,Unternehmensinvestition mit Forschungs-/Technologiebezug,"10.765,85",A
Atlas Personal Management GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.210,00",A
ATM Recyclingsystems GmbH,Innovationsdienstleistung für Unternehmen,"98.499,89",A
ATM Recyclingsystems GmbH,ESF cross-financing,"19.512,94",A
ATM Recyclingsystems GmbH,ESF cross-financing,"15.409,89",A
ATM Recyclingsystems GmbH,Innovationsdienstleistung für Unternehmen,"1.650,08",A
Astrid Eva Reicht,Innovationsdienstleistung für Unternehmen,"8.000,00",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"106.173,00",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"8.437,50",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.479.193,59",G
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"1.584,80",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"3.911,46",A
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"14.184,12",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"18.633,68",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"19.214,52",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"12.893,27",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"27.697,46",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,ESF cross-financing,"5.990,29",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"2.240,00",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"560,00",A
AT&S Austria Technologie & Systemtechnik Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"2.310,11",A
ATB Spielberg GmbH,Innovationsdienstleistung für Unternehmen,"3.097,00",A
ATENSO e.U.,Unternehmensinvestition mit Forschungs-/Technologiebezug,"10.765,85",A
Atlas Personal Management GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.210,00",A
ATM Recyclingsystems GmbH,Innovationsdienstleistung für Unternehmen,"98.499,89",A
ATM Recyclingsystems GmbH,ESF cross-financing,"19.512,94",A
ATM Recyclingsystems GmbH,ESF cross-financing,"15.409,89",A
ATM Recyclingsystems GmbH,Innovationsdienstleistung für Unternehmen,"1.650,08",A
ATOX  GmbH,Innovationsdienstleistung für Unternehmen,"28.837,00",A
ATOX  GmbH,Innovationsdienstleistung für Unternehmen,"12.600,00",A
Audio lab Austria GmbH,Innovationsdienstleistung für Unternehmen,"23.436,20",A
AUG Elektronik GmbH,Innovationsdienstleistung für Unternehmen,"97.242,32",A
Ausbildungsverbund (ABV) Metall,Projekt im Bereich Technologietransfer / KMU-Kooperation,"4.650,00",A
'Austin' Pock & Partners GmbH,Innovationsdienstleistung für Unternehmen,"100.000,00",A
'Austin' Pock & Partners GmbH,Innovationsdienstleistung für Unternehmen,"5.925,00",A
Austin Powder GmbH,Innovationsdienstleistung für Unternehmen,"28.000,00",A
Austria Druckguss GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.880,02",A
Austria Druckguss GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"9.900,00",A
Austria Email AG,Investition zur Verbesserung der Energieeffizienz,"67.251,00",A
Austria Email Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"10.356,90",A
Austria Email Aktiengesellschaft,Unternehmensinvestition mit Forschungs-/Technologiebezug,"760.025,07",A
Austria Email Aktiengesellschaft,ESF cross-financing,"15.155,78",A
Austria Email Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"1.155,06",A
Autforce Automations GmbH,Innovationsdienstleistung für Unternehmen,"13.400,00",A
Autoglas Plöb GmbH,Innovationsdienstleistung für Unternehmen,"10.440,00",A
Autohaus Pachern GmbH,Innovationsdienstleistung für Unternehmen,"3.600,00",A
Autohaus Uitz Gesellschaft m.b.H.,ESF cross-financing,"15.000,00",A
Autohaus Uitz Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.615,00",A
Autohaus Uitz GesmbH & CO KG,Innovationsdienstleistung für Unternehmen,"52.920,00",A
Automationstechnik Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.160,00",A
AutomationX GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"148.903,00",A
ATOX  GmbH,Innovationsdienstleistung für Unternehmen,"12.600,00",A
Audio lab Austria GmbH,Innovationsdienstleistung für Unternehmen,"23.436,20",A
AUG Elektronik GmbH,Innovationsdienstleistung für Unternehmen,"97.242,32",A
Ausbildungsverbund (ABV) Metall,Projekt im Bereich Technologietransfer / KMU-Kooperation,"4.650,00",A
'Austin' Pock & Partners GmbH,Innovationsdienstleistung für Unternehmen,"100.000,00",A
'Austin' Pock & Partners GmbH,Innovationsdienstleistung für Unternehmen,"5.925,00",A
Austin Powder GmbH,Innovationsdienstleistung für Unternehmen,"28.000,00",A
Austria Druckguss GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.880,02",A
Austria Druckguss GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"9.900,00",A
Austria Email AG,Investition zur Verbesserung der Energieeffizienz,"67.251,00",A
Austria Email Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"10.356,90",A
Austria Email Aktiengesellschaft,Unternehmensinvestition mit Forschungs-/Technologiebezug,"760.025,07",A
Austria Email Aktiengesellschaft,ESF cross-financing,"15.155,78",A
Austria Email Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"1.155,06",A
Autforce Automations GmbH,Innovationsdienstleistung für Unternehmen,"13.400,00",A
Autoglas Plöb GmbH,Innovationsdienstleistung für Unternehmen,"10.440,00",A
Autohaus Pachern GmbH,Innovationsdienstleistung für Unternehmen,"3.600,00",A
Autohaus Uitz Gesellschaft m.b.H.,ESF cross-financing,"15.000,00",A
Autohaus Uitz Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.615,00",A
Autohaus Uitz GesmbH & CO KG,Innovationsdienstleistung für Unternehmen,"52.920,00",A
Automationstechnik Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.160,00",A
AutomationX GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"148.903,00",A
AutomationX GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"86.265,00",A
AutomationX GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"127.621,00",A
AutomationX GmbH,ESF cross-financing,"10.094,40",A
AutomationX GmbH,Innovationsdienstleistung für Unternehmen,"3.000,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"827.905,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"236.656,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"844.670,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"132.476,00",G
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"39.500,00",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"41.665,60",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"80.000,00",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"50.000,00",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"50.000,00",A
AVL List GmbH,Investition zur Verbesserung der Energieeffizienz,"241.785,00",A
AWV Umwelttechnik GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
AXIS Flight Training Systems GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"330.632,00",G
AXIS Flight Trainings Systems GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"233.591,78",A
Bäckerei Michael Viertler e.U.,Innovationsdienstleistung für Unternehmen,"2.240,00",A
Bad-Heiztechnik Kindermann Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"79.015,00",A
Bad-Heiztechnik Kindermann Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.900,00",A
Balk Dach GmbH,Innovationsdienstleistung für Unternehmen,"8.694,40",A
Barth & Partner Edelstahldesign KG,Innovationsdienstleistung für Unternehmen,"2.126,26",A
BAU - PILZ Baugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"21.175,00",A
AutomationX GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"127.621,00",A
AutomationX GmbH,ESF cross-financing,"10.094,40",A
AutomationX GmbH,Innovationsdienstleistung für Unternehmen,"3.000,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"827.905,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"236.656,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"844.670,00",A
AVL List GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"132.476,00",G
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"39.500,00",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"41.665,60",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"80.000,00",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"50.000,00",A
AVL List GmbH,Innovationsdienstleistung für Unternehmen,"50.000,00",A
AVL List GmbH,Investition zur Verbesserung der Energieeffizienz,"241.785,00",A
AWV Umwelttechnik GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
AXIS Flight Training Systems GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"330.632,00",G
AXIS Flight Trainings Systems GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"233.591,78",A
Bäckerei Michael Viertler e.U.,Innovationsdienstleistung für Unternehmen,"2.240,00",A
Bad-Heiztechnik Kindermann Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"79.015,00",A
Bad-Heiztechnik Kindermann Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.900,00",A
Balk Dach GmbH,Innovationsdienstleistung für Unternehmen,"8.694,40",A
Barth & Partner Edelstahldesign KG,Innovationsdienstleistung für Unternehmen,"2.126,26",A
BAU - PILZ Baugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"21.175,00",A
Bayer Elektrotechnik GmbH,ESF cross-financing,"675,00",A
Bayer Elektrotechnik GmbH,Innovationsdienstleistung für Unternehmen,"980,00",A
bayoda GmbH,Innovationsdienstleistung für Unternehmen,"100.000,00",A
bayoda GmbH,Innovationsdienstleistung für Unternehmen,"4.800,00",A
BBG Baugeräte GmbH,ESF cross-financing,"6.563,97",A
BBG Baugeräte GmbH,Innovationsdienstleistung für Unternehmen,"577,52",A
BDI - Bio Energy International AG,Innovationsdienstleistung für Unternehmen,"38.263,56",A
BDI - BioEnergy International AG,ESF cross-financing,"13.046,70",A
BDI - BioEnergy International AG,Innovationsdienstleistung für Unternehmen,"16.800,00",A
Becskei GmbH,Innovationsdienstleistung für Unternehmen,"14.700,00",A
Berghofer Planungs- und Projektentwicklungsgesellschaft mbH,Innovationsdienstleistung für Unternehmen,"30.400,00",A
Bernhard Friedrich Warnecke,Unternehmensinvestition mit Forschungs-/Technologiebezug,"5.249,39",A
Bernhard Seefried,ESF cross-financing,"6.540,00",A
BHDT GmbH,Unternehmensinvestition mit Innovationsbezug,"268.780,00",A
BHDT GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"313.442,30",A
BHDT GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"675.691,36",A
BHDT GmbH,Unternehmensinvestition mit Innovationsbezug,"206.793,52",A
BHDT GmbH,ESF cross-financing,"20.214,80",A
BHDT GmbH,ESF cross-financing,"10.371,90",A
BHDT GmbH,ESF cross-financing,"10.471,82",A
BHDT GmbH,ESF cross-financing,"25.632,68",G
BHDT GmbH,Innovationsdienstleistung für Unternehmen,"1.600,00",A
BHDT GmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
Bayer Elektrotechnik GmbH,Innovationsdienstleistung für Unternehmen,"980,00",A
bayoda GmbH,Innovationsdienstleistung für Unternehmen,"100.000,00",A
bayoda GmbH,Innovationsdienstleistung für Unternehmen,"4.800,00",A
BBG Baugeräte GmbH,ESF cross-financing,"6.563,97",A
BBG Baugeräte GmbH,Innovationsdienstleistung für Unternehmen,"577,52",A
BDI - Bio Energy International AG,Innovationsdienstleistung für Unternehmen,"38.263,56",A
BDI - BioEnergy International AG,ESF cross-financing,"13.046,70",A
BDI - BioEnergy International AG,Innovationsdienstleistung für Unternehmen,"16.800,00",A
Becskei GmbH,Innovationsdienstleistung für Unternehmen,"14.700,00",A
Berghofer Planungs- und Projektentwicklungsgesellschaft mbH,Innovationsdienstleistung für Unternehmen,"30.400,00",A
Bernhard Friedrich Warnecke,Unternehmensinvestition mit Forschungs-/Technologiebezug,"5.249,39",A
Bernhard Seefried,ESF cross-financing,"6.540,00",A
BHDT GmbH,Unternehmensinvestition mit Innovationsbezug,"268.780,00",A
BHDT GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"313.442,30",A
BHDT GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"675.691,36",A
BHDT GmbH,Unternehmensinvestition mit Innovationsbezug,"206.793,52",A
BHDT GmbH,ESF cross-financing,"20.214,80",A
BHDT GmbH,ESF cross-financing,"10.371,90",A
BHDT GmbH,ESF cross-financing,"10.471,82",A
BHDT GmbH,ESF cross-financing,"25.632,68",G
BHDT GmbH,Innovationsdienstleistung für Unternehmen,"1.600,00",A
BHDT GmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
BHDT Service GmbH,Innovationsdienstleistung für Unternehmen,"5.136,50",A
BikeCityGuide Apps Gmbh,Innovationsdienstleistung für Unternehmen,"1.020,00",A
Bilfinger VAM Anlagentechnik GmbH,ESF cross-financing,"15.980,44",A
Bilfinger VAM Anlagentechnik GmbH,ESF cross-financing,"6.807,58",A
Bilfinger VAM Anlagentechnik GmbH,Innovationsdienstleistung für Unternehmen,"1.470,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"3.726,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"6.075,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"7.534,00",A
Binder + Co AG,Unternehmensinvestition mit Forschungs-/Technologiebezug,"356.220,00",G
Binder + Co AG,ESF cross-financing,"15.722,00",A
Binder + Co AG,ESF cross-financing,"29.107,26",A
Binder + Co AG,ESF cross-financing,"15.707,52",A
Binder + Co AG,ESF cross-financing,"14.327,94",A
Binder + Co AG,ESF cross-financing,"10.332,39",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"1.435,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"1.155,06",A
Bio-Energie Schladming GmbH,Investition - Erneuerbare Energien,"387.997,00",A
Bioenergie Wärmeservice GmbH,Investition - Erneuerbare Energien,"467.592,00",G
bionic surface technologies GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"11.039,38",A
bionic surface technologies GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"23.549,00",A
BionX Europe GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"130.808,00",A
BIOS BIOENERGIESYSTEME GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"92.550,00",A
BIOS BIOENERGIESYSTEME GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"53.051,00",A
BikeCityGuide Apps Gmbh,Innovationsdienstleistung für Unternehmen,"1.020,00",A
Bilfinger VAM Anlagentechnik GmbH,ESF cross-financing,"15.980,44",A
Bilfinger VAM Anlagentechnik GmbH,ESF cross-financing,"6.807,58",A
Bilfinger VAM Anlagentechnik GmbH,Innovationsdienstleistung für Unternehmen,"1.470,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"3.726,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"6.075,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"7.534,00",A
Binder + Co AG,Unternehmensinvestition mit Forschungs-/Technologiebezug,"356.220,00",G
Binder + Co AG,ESF cross-financing,"15.722,00",A
Binder + Co AG,ESF cross-financing,"29.107,26",A
Binder + Co AG,ESF cross-financing,"15.707,52",A
Binder + Co AG,ESF cross-financing,"14.327,94",A
Binder + Co AG,ESF cross-financing,"10.332,39",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"1.435,00",A
Binder + Co AG,Innovationsdienstleistung für Unternehmen,"1.155,06",A
Bio-Energie Schladming GmbH,Investition - Erneuerbare Energien,"387.997,00",A
Bioenergie Wärmeservice GmbH,Investition - Erneuerbare Energien,"467.592,00",G
bionic surface technologies GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"11.039,38",A
bionic surface technologies GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"23.549,00",A
BionX Europe GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"130.808,00",A
BIOS BIOENERGIESYSTEME GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"92.550,00",A
BIOS BIOENERGIESYSTEME GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"53.051,00",A
