Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Širenje usluge osobne asistencije za osobe s invaliditetom u Požeško - slavonskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Udruga osoba s invaliditetom Grada Požege i Županije Požeško - slavonske (23270688194),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežom vrstom i stupnjem invaliditeta u provođenju aktivnosti svakodnevnog življenja i samozbrinjavanja. Širenjem usluge osobne asistencije veći broj korisnika, osoba s najtežim stupnjem i vrstom invaliditeta, dobiva mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija.",23.11.2015,22.11.2016,"439.917,07 kn","439.917,07 kn"
OSOBNI ASISTENT,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Udruga paraplegičara i tetraplegičara Osječko-baranjske županije (86649507780),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežom vrstom i stupnjem invaliditeta u provođenju aktivnosti svakodnevnog življenja.Širenjem ove usluge veći broj korisnika dobiva mogućnost unapređenja kvalitete življenja, socijalnog uključivanja i sprječavanja institucionalizacije.Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada. Usluga se pruža 80 sati mjesečno a o radu se vodi evidencija. UPIT će dosadašnja iskustva pružanja ove usluge predstaviti u Virovitičko-podr. i Požeško-sav. županiji gdje ova soc.usluga nije razvijena i na završnoj konf.u Osijeku",29.10.2015,28.10.2016,"667.123,50 kn","667.123,50 kn"
Aktivni roditelji za aktivnu zajednicu ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Centar za tehnološki razvoj - Razvojna agencija Brodsko-posavske županije d.o.o. (09965011789),"Razvojem socijalnih usluga u lokalnoj zajednici kroz projekt ""Aktivni roditelji za aktivnu zajednicu"" uspostavit će se ljudski i materijalni preduvjeti za održivo provođenje 3 kraća odgojno-obrazovna programa za djecu kako bi se njihovim roditeljima omogućilo kvalitetnije usklađivanje obiteljskih i poslovnih obveza, kako bi ih se potaknulo na proaktivniji pristup traženju posla ili svijetu rada. ",15.09.2015,14.11.2016,"866.556,28 kn","896.331,00 kn"
Usluge radnih aktivnosti uz podršku za osobe s intelektualnim teškoćama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Centar za inkluzivne radne aktivnosti (76699990208),"Cilj projekta je održati i unaprijediti mogućnosti zapošljavanja osoba s intelektualnim teškoćama (OIT) proširenjem kapaciteta pružatelja usluga radnih aktivnosti uz podršku na području Zagreba te uvođenjem usluge radnih aktivnosti uz podršku na području Pakraca/Lipika. Širenjem mreže socijalnih usluga adresira se glavni problem, a to je nemogućnost uključivanja OIT na otvoreno tržište rada. Projekt će pojačati kapacitet pružatelja usluga u Zagrebu, a prijenosom znanja uspostavit će se usluga radnih aktivnosti uz podršku u Pakracu/Lipiku kao izravna podrška procesu deinstitucionalizacije u RH.",20.07.2015,19.09.2016,"1.118.663,18 kn","1.118.663,18 kn"
Aktivno za socijalnu sigurnost i jednake mogućnosti u svijetu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,"CESI – Centar za edukaciju, savjetovanje i istraživanje  (81873549225)","Projekt Aktivno za socijalnu sigurnost i jednake mogućnosti u svijetu rada ima za cilj osnažiti  partnerske organizacije za pružanje socijalnih usluga i unaprijediti provedbu programa socijalnih usluga u Gradu Zagrebu, Koprivničko križevačkoj županiji, Požeško slavonskoj županiji i Krapinsko zagorskoj županiji kroz edukaciju, osnaživanje, umrežavanje, i promociju pružanja socijalnih usluga. Također projektom će se provesti program za jednake mogućnosti u svijetu rada kroz direktan rad sa korisnicama i osnažiti partnerstva u svrhu provedbe programa socijalnih usluga.  ",29.12.2014,28.12.2015,"592.754,16 kn","592.754,16 kn"
Osnaživanje ženskih organizacija civilnog društva za širenje servisa pomoći i podrške ženama koje su prživjele različite oblike rodno utemeljenog nasilja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Centar za žene žrtve rata ROSA (29113415030),"Svrha projekta je povećati kapacitete ženskih OCD-a za pružanje pomoći i podrške ženama koje su preživjele rodno utemeljeno nasilje i diskriminaciju te jačati partnerstvo i suradnju s ostalim dionicima koji djeluju u tom području. 
Predviđeni  rezultati projekta su:
Ojačani kapaciteti OCD-a za pružanje pomoći i podrške ženama koje su preživjele rodno utemeljeno nasilja i diskriminaciju.
Unaprijeđena suradnja između OCD i drugih dionika u pružanju potrebnih socijalnih usluga ženama.
Definiran i primijenjen pilot program Koordinirane intervencije institucija i OCD-a u zajednici.

",29.12.2014,28.02.2016,"729.702,24 kn","729.702,24 kn"
"SNAGOM ZNANJA, DA RAZLIKA BUDE MANJA",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,UDRUGA SLIJEPIH VARAŽDINSKE ŽUPANIJE – VARAŽDIN (84398561074),"Obzirom na nedovoljnu razvijenost udruga slijepih za pružanje učinkovitih socijalnih usluga za slijepe, neophodno je unaprijediti njihove kapacitete. Stoga ovaj projekt omogućuje da se zajedničkim inicijativama dviju udruga slijepih ujednače i poboljšaju kapaciteti i proširi suradnja u području razvoja socijalnih usluga.
Cilj projekta je povećanjem vlastitih kapaciteta doprinijeti razvoju tržišta socijalnih usluga za slijepe u Varaždinskoj i Požeško-slavonskoj županiji. Ciljne skupine su upravljačka i operativna tijela udruga, volonteri iz medicinskih škola i zainteresirana javnost.
",29.12.2014,28.02.2016,"746.579,25 kn","746.579,25 kn"
SOS-NET,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,"Udruga djece i mladih s poteškoćama u razvoju ""Zvono"" (80574606030)","Opći cilj:unaprijediti sposobnosti organizacija civilnog društva  za pružanje socijalnih usluga i jačanje partnerstva s dionicima koji djeluju na području pružanja socijalnih usluga u 5 slavonskih županija.
Svrha projekta:
1.Razvijeni kapaciteti organizacija civilnog društva za pružanje socijalnih usluga temeljenih na stvarnim potrebama.
2.Kreiran učinkovit model suradnje i komunikacije(vertikalne i horizontalne) među dionicima koji pružaju socijalne usluge.
Ciljna skupina: minimalno 10 organizacija civilnog društva, najmanje 40 predstavnika organizacija civilnog društva, 10 volontera.  
",29.12.2014,28.02.2016,"746.144,00 kn","746.144,00 kn"
Za bolje sutra: Jačanje sposobnosti organizacija civilnoga društva za pružanje socijalnih usluga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Hrvatski savez slijepih (49466521634),"Zbog nedostatnih kapaciteta udruga slijepih u pružanju socijalnih usluga dostatnih za zadovoljavanje potreba članova, želimo povećati sposobnost temeljnih udruga slijepih uz unapređenje regionalne ravnomjernosti i usklađeni pristup socijalnim uslugama za slijepe te ojačati suradnju i stvoriti mrežu zainteresiranih dionika u području pružanja socijalnih usluga u lokalnim zajednicama.
Ciljane skupine su 40 predstavnika upravljačkih tijela i 20 zaposlenika udruga slijepih; Savez i 10 udruga slijepih kroz izrađenu evaluaciju postojećeg rada; 200 sudionika održanih javnih panela i javnost.",29.12.2014,28.02.2016,"749.407,06 kn","749.407,06 kn"
"""SOS za MS- podrška i razvoj socijalnih usluga i inkluzivnog volonterstva""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Savez društava multiple skleroze Hrvatske (42928524403),"Projekt ""SOSzaMS – podrška i razvoj socijalnih usluga i inkluzivnog volonterstva"" na nekoliko razina adresira probleme oboljelih od MS-a: osposobljava udruge za pružanje socijalnih usluga, potiče oboljele na suradnju sa udrugama i uključenje u njihov rad putem inkluzivnog volonterstva, potiče neovisno življenje oboljelih od MS-a. Opći cilj: Unaprijediti sposobnosti udruga osoba sa Ms-om za pružanje socijalnih i volonterskih usluga te jačanje partnerstava. Ciljane skupine: osobe oboljele od multiple skleroze u sedam partnerskih organizacija i zaposlenici u 7 partnerskih organizacija
",29.12.2014,28.02.2016,"522.423,82 kn","522.423,82 kn"
Edukativni boćarski kamp za osobe s invaliditetom i sportske asistente,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,"Boćarski klub osoba s invaliditetom ""Pulac"" (92948526955)",Projekt je namijenjen osobama s invaliditetom i njihovim sportskim asistentima  s ciljem bolje socijalne uključenosti osoba s invaliditetom u društvenu zajednicu kao i edukacije  potrebnih kadrova u segmentu sporta ( boćanje) kojim se OCD-i bave. ,29.12.2014,29.02.2016,"199.882,00 kn","199.882,00 kn"
Pokreni sebe u svojoj lokalnoj zajednici,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Bebrinska udruga mladih (52093762315),"Projekt „Pokreni sebe u lokalnoj zajednici“ pridonosi većoj učinkovitosti i sposobnosti OCD-a u integraciji socijalnih usluga i povećanju zapošljivosti mladih nezaposlenih s područja LAG-a Posavina. Projekt traje 12 mj. Aktivnosti: edukacije za OCD-e za pružanje soc. usluga edukacije za mlade nezaposlene osobe iz područja „mekih“ vještina, osnivanje savjetodavnih Info točaka, analiza potreba i problema mladih te okrugli stolovi s lokalnim dionicima. Ciljne skupine:10 OCD-a za jačanje kapaciteta u pružanju soc. usluga, 30 mladih nezaposlenih osoba, 15 lokalnih dionika s područja LAG-a Posavina",29.12.2014,28.12.2015,"533.290,00 kn","533.290,00 kn"
EKO VOĆNJAK – Proizvodnja voća na ekološki način,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Učilište Link (95980406546),Projekt 'EKO VOĆNJAK' doprinosi razvoju Požeško-slavonske županije tako što se projektom razvija program osposobljavanja za proizvodnju voća na ekološki prihvatljiv način. U suradnji sa Udrugom Šljivara i Gradom Požegom razvit će se partnerstvo za promicanje cjeloživotnog učenja prema potrebama tržišta rada i kvalitetnog obrazovanja koje doprinosi održivom razvoju regije.,30.11.2015,29.11.2016,"1.234.382,31 kn","1.299.486,59 kn"
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Prehrambeno-tehnološki fakultet (96371000697),Zbog premalog ulaganja u znanost i razvoj mladih znanstvenika potrebna su dodatna sredstva kako bi se mogli isti dovoljno usavršiti te postati konkurentniji na tržištu rada. Podaci o pojavnosti nereguliranih mikotoksina za Republiku Hrvatsku ne postoje unatoč interesu Europske agencije za sigurnost hrane (EFSA). CroMycoScreen projekt ispitat će pojavnost reguliranih i nereguliranih mikotoksina u uzorcima žitarica s područja Republike Hrvatske te time usavršiti dvoje mladih znanstvenika u području analitike mikotoksina. Rezultati projekta su temelj za daljnja istraživanja i procjenu rizika.,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn"
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Pravni fakultet u Zagrebu (38583303160),"Projekt se bavi razvojem obrazovnih i radnih karijera mladih odraslih u siromaštvu. Ciljevi projekta su ojačati konkurentnost ciljnih skupina mladih istraživača i poslijedoktoranda u ovom području istraživanja, vještine za vođenje projekata i razviti pan-europsku suradnju s mladim istraživačima te javnim, civilnim i privatnim sektorom. Istraživanje ima karakter eksplorativne sekvencijalne studije s kombinacijom kvantitativnog i kvalitativnog pristupa. Nastoje se produbiti spoznaje o činiteljima značajnim za uspješnost prelaska mladih iz obrazovanja na tržište rada te za izlazak iz siromaštva.",30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn"
