Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Einrichtung efREporter III ,08.04.2016,"164.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Erweiterung der Share-Point-Nutzung,26.04.2016,"350.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Finanzierung Terminal-Server-Zugänge ILB (Citrix),11.05.2016,"160.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Beauftragung von Übersetzungsleistungen Englisch/Deutsch - Deutsch/Englisch,08.04.2016,"55.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Begleitendes Monitoring zur Umsetzung des OP EFRE,26.04.2016,"37.300,00 € ",80%,"Potsdam, Stadt",Deutschland,122 Bewertung und Studien 
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Finanzierung von Fortbildungskosten,09.10.2015,"20.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Information und Kommunikation (EFRE),10.03.2016,"9.000,00 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Unterstützung der VB EFRE in Bezug auf Information und Kommunikation (EFRE),08.04.2016,"6.353,82 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
Ministerium für Wirtschaft und Energie (MWE) - Referat 22,Ergebnis- und Wirkungsmonitorings (2015-2017) für die regionale Innovationsstrategie ,01.07.2015,"1.660,00 € ",80%,"Potsdam, Stadt",Deutschland,122 Bewertung und Studien 
Ministerium für Wirtschaft und Energie (MWE) - Referat 22 ,Finanzierung von Personalkosten ,12.02.2016,"1.414,91 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
