years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Birthe und Oliver Domnick Hotelbetriebs GmbH
Panker",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Blumen Martin
Flensburg",A2 - Potenzialberatung,"1.200,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Blumen Pastorff GbR
Glücksburg",A2 - Potenzialberatung,"2.970,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Blumen Roth Floristik 
Flensburg",A2 - Potenzialberatung,"300,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Böbs-Werft GmbH
Lübeck",A2 - Potenzialberatung,"2.700,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bogenschneider GmbH & Co. KG
Bad Schwartau",A2 - Potenzialberatung,"900,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bolz Block GmbH & Co. KG
Uetersen",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bom Dia Agentur für Direkt-Importe
Lübeck",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Born Stahl- und Metallbau
Schuby",A2 - Potenzialberatung,"2.400,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BoSch Data GmbH
Wees",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Böttcher Haus Exclusiv GmbH
Melsdorf",A2 - Potenzialberatung,"2.100,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Brandes GmbH
Eutin",A2 - Potenzialberatung,"300,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Brandt GmbH
Barsbüttel",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bremer Fertigungstechnik GmbH
Wahlstedt",A2 - Potenzialberatung,"2.400,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Brockhöft GmbH Kraftfahrzeugbedarf
Norderstedt",A2 - Potenzialberatung,"2.400,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Brückner Rohrtechnik GmbH
Rabenkirchen-Faulück",A2 - Potenzialberatung,"3.000,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Brühl Friseure
Rellingen",A2 - Potenzialberatung,"2.700,00",
